task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,150.42352905273438,9.984740801978984e-05,,,,,,
0,1.0,BASE,85.00901463826497,9.939057285945931e-05,,,,,,
0,2.0,BASE,-2.939209230740865,9.863231105968498e-05,,,,,,
0,3.0,BASE,-112.51693725585938,9.75772975566101e-05,,,,,,
0,4.0,BASE,-220.88348388671875,9.623203685930868e-05,,,,,,
0,5.0,BASE,-311.9514404296875,9.46048229473242e-05,,,,,,
0,6.0,BASE,-380.5710896809896,9.270568813552755e-05,,,,,,
0,7.0,BASE,-424.19297281901044,9.054634122155989e-05,,,,,,
0,8.0,BASE,-454.0402364095052,8.814009529720152e-05,,,,,,
0,9.0,BASE,-476.5470865885417,8.550178566873408e-05,,,,,,
0,10.0,BASE,-494.7490661621094,8.264767839234409e-05,,,,,,
0,11.0,BASE,-510.07594197591146,7.959536998847741e-05,,,,,,
0,12.0,BASE,-524.605029296875,7.636367895343945e-05,,,,,,
0,13.0,BASE,-536.765283203125,7.297252973710755e-05,,,,,,
0,14.0,BASE,-547.4113199869792,6.944282990207194e-05,,,,,,
0,15.0,BASE,-556.6617350260417,6.57963412215599e-05,,,,,,
0,16.0,BASE,-565.1896036783854,6.205554551086731e-05,,,,,,
0,17.0,BASE,-572.7585530598958,5.824350601949142e-05,,,,,,
0,18.0,BASE,-579.2896484375,5.438372523852832e-05,,,,,,
0,19.0,BASE,-585.478194173177,5.0499999999999994e-05,,,,,,
0,20.0,BASE,-591.4652384440104,4.6616274761471674e-05,,,,,,
0,21.0,BASE,-597.2470947265625,4.275649398050858e-05,,,,,,
0,22.0,BASE,-601.0109741210938,3.894445448913268e-05,,,,,,
0,23.0,BASE,-605.083447265625,3.52036587784401e-05,,,,,,
0,24.0,BASE,-608.6058756510416,3.155717009792805e-05,,,,,,
0,25.0,BASE,-611.7998250325521,2.802747026289243e-05,,,,,,
0,26.0,BASE,-614.6452189127605,2.463632104656053e-05,,,,,,
