task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,136.06381022135417,9.984740801978984e-05,,,,,,
0,1.0,BASE,71.233531443278,9.939057285945931e-05,,,,,,
0,2.0,BASE,-19.273766581217448,9.863231105968498e-05,,,,,,
0,3.0,BASE,-133.11534322102864,9.75772975566101e-05,,,,,,
0,4.0,BASE,-240.90497436523438,9.623203685930868e-05,,,,,,
0,5.0,BASE,-331.38169962565104,9.46048229473242e-05,,,,,,
0,6.0,BASE,-401.71083984375,9.270568813552755e-05,,,,,,
0,7.0,BASE,-447.55633544921875,9.054634122155989e-05,,,,,,
0,8.0,BASE,-478.62815755208334,8.814009529720152e-05,,,,,,
0,9.0,BASE,-501.82171020507815,8.550178566873408e-05,,,,,,
0,10.0,BASE,-520.0080952962239,8.264767839234409e-05,,,,,,
0,11.0,BASE,-535.073661295573,7.959536998847741e-05,,,,,,
0,12.0,BASE,-549.137353515625,7.636367895343945e-05,,,,,,
0,13.0,BASE,-561.6839721679687,7.297252973710755e-05,,,,,,
0,14.0,BASE,-572.5871215820313,6.944282990207194e-05,,,,,,
0,15.0,BASE,-581.917431640625,6.57963412215599e-05,,,,,,
0,16.0,BASE,-590.6196451822917,6.205554551086731e-05,,,,,,
0,17.0,BASE,-598.1932495117187,5.824350601949142e-05,,,,,,
0,18.0,BASE,-604.7227498372396,5.438372523852832e-05,,,,,,
0,19.0,BASE,-611.0741048177083,5.0499999999999994e-05,,,,,,
0,20.0,BASE,-617.0766723632812,4.6616274761471674e-05,,,,,,
0,21.0,BASE,-622.4397908528646,4.275649398050858e-05,,,,,,
0,22.0,BASE,-626.5172607421875,3.894445448913268e-05,,,,,,
0,23.0,BASE,-630.7029459635417,3.52036587784401e-05,,,,,,
0,24.0,BASE,-634.2371744791667,3.155717009792805e-05,,,,,,
0,25.0,BASE,-637.3553181966146,2.802747026289243e-05,,,,,,
0,26.0,BASE,-640.2226236979167,2.463632104656053e-05,,,,,,
0,27.0,BASE,-642.7082885742187,2.1404630011522583e-05,,,,,,
0,28.0,BASE,-645.06748046875,1.835232160765591e-05,,,,,,
0,29.0,BASE,-646.7944417317708,1.5498214331265897e-05,,,,,,
0,30.0,BASE,-648.6665852864584,1.2859904702798466e-05,,,,,,
0,31.0,BASE,-650.2686767578125,1.0453658778440104e-05,,,,,,
0,32.0,BASE,-651.0814819335938,8.294311864472434e-06,,,,,,
0,33.0,BASE,-651.9958414713542,6.395177052675791e-06,,,,,,
0,34.0,BASE,-653.0921956380208,4.767963140691304e-06,,,,,,
0,35.0,BASE,-653.8187662760416,3.4227024433898985e-06,,,,,,
0,36.0,BASE,-654.0565063476563,2.3676889403150093e-06,,,,,,
0,37.0,BASE,-654.5824137369792,1.6094271405406855e-06,,,,,,
0,38.0,BASE,-654.5764363606771,1.1525919802101657e-06,,,,,,
0,39.0,BASE,-654.8820475260417,1.0000000000000002e-06,,,,,,
1,0.0,FAST,1071.905876159668,5e-05,,,,,,
1,1.0,FAST,412.2938117980957,0.0001,,,,,,
1,2.0,FAST,-0.7346467971801758,9.984740801978984e-05,,,,,,
1,3.0,FAST,-110.38788318634033,9.939057285945931e-05,,,,,,
1,4.0,FAST,-220.94373512268066,9.863231105968498e-05,,,,,,
1,5.0,FAST,-264.89169120788574,9.75772975566101e-05,,,,,,
1,6.0,FAST,-278.05491065979004,9.623203685930868e-05,,,,,,
1,7.0,FAST,-288.12626457214355,9.46048229473242e-05,,,,,,
1,8.0,FAST,-299.6388969421387,9.270568813552755e-05,,,,,,
1,9.0,FAST,-311.2433395385742,9.054634122155989e-05,,,,,,
1,10.0,FAST,-322.7388401031494,8.814009529720152e-05,,,,,,
1,11.0,FAST,-332.34393310546875,8.550178566873408e-05,,,,,,
1,12.0,FAST,-342.85032844543457,8.264767839234409e-05,,,,,,
1,13.0,FAST,-352.7642993927002,7.959536998847741e-05,,,,,,
1,14.0,FAST,-362.052001953125,7.636367895343945e-05,,,,,,
1,15.0,FAST,-370.80945777893066,7.297252973710755e-05,,,,,,
1,16.0,FAST,-377.69386100769043,6.944282990207194e-05,,,,,,
1,17.0,FAST,-384.07810974121094,6.57963412215599e-05,,,,,,
1,18.0,FAST,-389.29931640625,6.205554551086731e-05,,,,,,
1,19.0,FAST,-395.57117462158203,5.824350601949142e-05,,,,,,
1,20.0,FAST,-400.33920669555664,5.438372523852832e-05,,,,,,
1,21.0,FAST,-405.0615921020508,5.0499999999999994e-05,,,,,,
1,22.0,FAST,-408.6249942779541,4.6616274761471674e-05,,,,,,
1,23.0,FAST,-412.67784309387207,4.275649398050858e-05,,,,,,
1,24.0,FAST,-415.87414360046387,3.894445448913268e-05,,,,,,
1,25.0,FAST,-418.5805416107178,3.52036587784401e-05,,,,,,
1,26.0,FAST,-421.21084213256836,3.155717009792805e-05,,,,,,
1,27.0,FAST,-423.53947830200195,2.802747026289243e-05,,,,,,
1,28.0,FAST,-425.7632255554199,2.463632104656053e-05,,,,,,
1,29.0,FAST,-426.9862518310547,2.1404630011522583e-05,,,,,,
1,30.0,FAST,-429.48812103271484,1.835232160765591e-05,,,,,,
1,31.0,FAST,-430.8798637390137,1.5498214331265897e-05,,,,,,
1,32.0,FAST,-431.83954429626465,1.2859904702798466e-05,,,,,,
1,33.0,FAST,-433.3100872039795,1.0453658778440104e-05,,,,,,
1,34.0,FAST,-434.2826900482178,8.294311864472434e-06,,,,,,
1,35.0,FAST,-434.7305164337158,6.395177052675791e-06,,,,,,
1,36.0,FAST,-435.24616622924805,4.767963140691304e-06,,,,,,
1,37.0,FAST,-435.2582130432129,3.4227024433898985e-06,,,,,,
1,38.0,FAST,-436.17108726501465,2.3676889403150093e-06,,,,,,
1,39.0,FAST,-435.9805450439453,1.6094271405406855e-06,,,,,,
2,0.0,FAST,980.0465463491587,5e-05,,,,,,
2,1.0,FAST,613.4178091195913,0.0001,,,,,,
2,2.0,FAST,144.32719538762018,9.984740801978984e-05,,,,,,
2,3.0,FAST,-0.9798783522385818,9.939057285945931e-05,,,,,,
