task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,165510.31145833334,9.984740801978984e-05,,,,,,
0,1.0,BASE,112024.1359375,9.939057285945931e-05,,,,,,
0,2.0,BASE,48869.03802083333,9.863231105968498e-05,,,,,,
0,3.0,BASE,6539.253287760416,9.75772975566101e-05,,,,,,
0,4.0,BASE,-21780.024088541668,9.623203685930868e-05,,,,,,
0,5.0,BASE,-38359.521744791666,9.46048229473242e-05,,,,,,
0,6.0,BASE,-49401.7828125,9.270568813552755e-05,,,,,,
0,7.0,BASE,-58169.5484375,9.054634122155989e-05,,,,,,
0,8.0,BASE,-65238.78515625,8.814009529720152e-05,,,,,,
0,9.0,BASE,-71084.70416666666,8.550178566873408e-05,,,,,,
0,10.0,BASE,-75748.11458333333,8.264767839234409e-05,,,,,,
0,11.0,BASE,-79900.41614583334,7.959536998847741e-05,,,,,,
0,12.0,BASE,-83337.31458333334,7.636367895343945e-05,,,,,,
0,13.0,BASE,-86532.975,7.297252973710755e-05,,,,,,
0,14.0,BASE,-89288.65989583333,6.944282990207194e-05,,,,,,
0,15.0,BASE,-91780.75677083334,6.57963412215599e-05,,,,,,
0,16.0,BASE,-94096.59583333334,6.205554551086731e-05,,,,,,
0,17.0,BASE,-96128.71197916666,5.824350601949142e-05,,,,,,
0,18.0,BASE,-98037.9421875,5.438372523852832e-05,,,,,,
0,19.0,BASE,-99832.41666666667,5.0499999999999994e-05,,,,,,
0,20.0,BASE,-101619.79427083333,4.6616274761471674e-05,,,,,,
0,21.0,BASE,-103018.71927083333,4.275649398050858e-05,,,,,,
0,22.0,BASE,-104444.9453125,3.894445448913268e-05,,,,,,
0,23.0,BASE,-105672.478125,3.52036587784401e-05,,,,,,
0,24.0,BASE,-106804.13333333333,3.155717009792805e-05,,,,,,
0,25.0,BASE,-107856.271875,2.802747026289243e-05,,,,,,
0,26.0,BASE,-108793.56354166666,2.463632104656053e-05,,,,,,
0,27.0,BASE,-109685.93333333333,2.1404630011522583e-05,,,,,,
0,28.0,BASE,-110365.67239583333,1.835232160765591e-05,,,,,,
0,29.0,BASE,-111062.48072916667,1.5498214331265897e-05,,,,,,
0,30.0,BASE,-111663.33177083333,1.2859904702798466e-05,,,,,,
0,31.0,BASE,-112111.859375,1.0453658778440104e-05,,,,,,
0,32.0,BASE,-112572.01979166667,8.294311864472434e-06,,,,,,
0,33.0,BASE,-112876.325,6.395177052675791e-06,,,,,,
0,34.0,BASE,-113170.63125,4.767963140691304e-06,,,,,,
0,35.0,BASE,-113397.56354166666,3.4227024433898985e-06,,,,,,
0,36.0,BASE,-113572.41458333333,2.3676889403150093e-06,,,,,,
0,37.0,BASE,-113623.103125,1.6094271405406855e-06,,,,,,
0,38.0,BASE,-113853.36927083334,1.1525919802101657e-06,,,,,,
0,39.0,BASE,-113797.00989583334,1.0000000000000002e-06,,,,,,
1,0.0,FAST,162496.85205078125,5e-05,,,,,,
1,1.0,FAST,76003.62109375,0.0001,,,,,,
1,2.0,FAST,40215.48669433594,9.984740801978984e-05,,,,,,
1,3.0,FAST,6070.760238647461,9.939057285945931e-05,,,,,,
1,4.0,FAST,-8313.252052307129,9.863231105968498e-05,,,,,,
1,5.0,FAST,-13951.593505859375,9.75772975566101e-05,,,,,,
1,6.0,FAST,-18652.766967773438,9.623203685930868e-05,,,,,,
1,7.0,FAST,-23131.268188476562,9.46048229473242e-05,,,,,,
1,8.0,FAST,-28636.374145507812,9.270568813552755e-05,,,,,,
1,9.0,FAST,-34543.673828125,9.054634122155989e-05,,,,,,
1,10.0,FAST,-40218.057373046875,8.814009529720152e-05,,,,,,
1,11.0,FAST,-45095.316162109375,8.550178566873408e-05,,,,,,
1,12.0,FAST,-48774.556396484375,8.264767839234409e-05,,,,,,
1,13.0,FAST,-52206.668701171875,7.959536998847741e-05,,,,,,
1,14.0,FAST,-55187.326416015625,7.636367895343945e-05,,,,,,
1,15.0,FAST,-58053.017333984375,7.297252973710755e-05,,,,,,
1,16.0,FAST,-60727.66845703125,6.944282990207194e-05,,,,,,
1,17.0,FAST,-63167.14990234375,6.57963412215599e-05,,,,,,
1,18.0,FAST,-64969.337158203125,6.205554551086731e-05,,,,,,
1,19.0,FAST,-66755.88159179688,5.824350601949142e-05,,,,,,
1,20.0,FAST,-68174.25708007812,5.438372523852832e-05,,,,,,
1,21.0,FAST,-69441.44189453125,5.0499999999999994e-05,,,,,,
1,22.0,FAST,-70722.11474609375,4.6616274761471674e-05,,,,,,
1,23.0,FAST,-71970.416015625,4.275649398050858e-05,,,,,,
1,24.0,FAST,-72874.7744140625,3.894445448913268e-05,,,,,,
1,25.0,FAST,-74110.84912109375,3.52036587784401e-05,,,,,,
1,26.0,FAST,-74821.796875,3.155717009792805e-05,,,,,,
1,27.0,FAST,-75574.02783203125,2.802747026289243e-05,,,,,,
1,28.0,FAST,-76376.55078125,2.463632104656053e-05,,,,,,
1,29.0,FAST,-76769.45849609375,2.1404630011522583e-05,,,,,,
1,30.0,FAST,-77274.0615234375,1.835232160765591e-05,,,,,,
1,31.0,FAST,-77865.95263671875,1.5498214331265897e-05,,,,,,
1,32.0,FAST,-78148.96240234375,1.2859904702798466e-05,,,,,,
1,33.0,FAST,-78437.447265625,1.0453658778440104e-05,,,,,,
1,34.0,FAST,-78849.76708984375,8.294311864472434e-06,,,,,,
1,35.0,FAST,-79017.83984375,6.395177052675791e-06,,,,,,
1,36.0,FAST,-79293.873046875,4.767963140691304e-06,,,,,,
1,37.0,FAST,-79264.73779296875,3.4227024433898985e-06,,,,,,
1,38.0,FAST,-79506.19384765625,2.3676889403150093e-06,,,,,,
1,39.0,FAST,-79716.18701171875,1.6094271405406855e-06,,,,,,
2,0.0,FAST,78266.90745192308,5e-05,,,,,,
2,1.0,FAST,59149.41616586538,0.0001,,,,,,
2,2.0,FAST,38203.12094350962,9.984740801978984e-05,,,,,,
2,3.0,FAST,10730.173396183895,9.939057285945931e-05,,,,,,
2,4.0,FAST,-6916.303527832031,9.863231105968498e-05,,,,,,
2,5.0,FAST,-16958.24451622596,9.75772975566101e-05,,,,,,
2,6.0,FAST,-23230.768329326922,9.623203685930868e-05,,,,,,
2,7.0,FAST,-28409.76277043269,9.46048229473242e-05,,,,,,
2,8.0,FAST,-32768.86658653846,9.270568813552755e-05,,,,,,
2,9.0,FAST,-36478.58984375,9.054634122155989e-05,,,,,,
2,10.0,FAST,-39955.80408653846,8.814009529720152e-05,,,,,,
2,11.0,FAST,-43088.512019230766,8.550178566873408e-05,,,,,,
2,12.0,FAST,-45894.47265625,8.264767839234409e-05,,,,,,
2,13.0,FAST,-48487.70883413462,7.959536998847741e-05,,,,,,
2,14.0,FAST,-50969.329627403844,7.636367895343945e-05,,,,,,
2,15.0,FAST,-53218.84885817308,7.297252973710755e-05,,,,,,
2,16.0,FAST,-55021.84495192308,6.944282990207194e-05,,,,,,
2,17.0,FAST,-56685.31850961538,6.57963412215599e-05,,,,,,
2,18.0,FAST,-58231.512019230766,6.205554551086731e-05,,,,,,
2,19.0,FAST,-59721.37830528846,5.824350601949142e-05,,,,,,
2,20.0,FAST,-60961.551081730766,5.438372523852832e-05,,,,,,
2,21.0,FAST,-62253.375901442305,5.0499999999999994e-05,,,,,,
2,22.0,FAST,-63116.879206730766,4.6616274761471674e-05,,,,,,
2,23.0,FAST,-64173.32602163462,4.275649398050858e-05,,,,,,
2,24.0,FAST,-64992.91526442308,3.894445448913268e-05,,,,,,
