metric,value
experiment_name,Version3-All
strategy,MoLE-Flow
final_average_img_auc,0.4471437500756723
final_average_pixel_auc,0.5526889638093304
final_average_img_ap,0.6540383392000159
final_average_pixel_ap,0.08975092399536429
total_classes,3
total_tasks,3
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
leather_img_auc,0.05570652173913043
leather_pixel_auc,0.06045489039440256
leather_img_ap,0.5425814186428491
leather_pixel_ap,0.003318438375667171
grid_img_auc,0.6232247284878863
grid_pixel_auc,0.7561804522602169
grid_img_ap,0.8161090198456586
grid_pixel_ap,0.03620149814002867
transistor_img_auc,0.6625
transistor_pixel_auc,0.8414315487733719
transistor_img_ap,0.6034245791115398
transistor_pixel_ap,0.22973283547039705
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
oracle_mean_img_auc,0.4471437500756723
oracle_mean_pixel_auc,0.5526889638093304
