metric,value
experiment_name,Version3-MSContext_DIA_OGP
strategy,MoLE-Flow
final_average_img_auc,0.43376829377186926
final_average_pixel_auc,0.5155923366788465
final_average_img_ap,0.6462870407492881
final_average_pixel_ap,0.08396539936705537
total_classes,3
total_tasks,3
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
leather_img_auc,0.0594429347826087
leather_pixel_auc,0.060440690614998176
leather_img_ap,0.543594555583394
leather_pixel_ap,0.0033186747306229434
grid_img_auc,0.5781119465329991
grid_pixel_auc,0.6433465966236418
grid_img_ap,0.7894920516806578
grid_pixel_ap,0.015733631605936663
transistor_img_auc,0.6637500000000001
transistor_pixel_auc,0.8429897227978996
transistor_img_ap,0.6057745149838127
transistor_pixel_ap,0.2328438917646065
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
oracle_mean_img_auc,0.43376829377186926
oracle_mean_pixel_auc,0.5155923366788465
