metric,value
experiment_name,Version3-WhiteningAdapter_DIA_OGP
strategy,MoLE-Flow
final_average_img_auc,0.8772469367864105
final_average_pixel_auc,0.9367222289364475
final_average_img_ap,0.8978175185268443
final_average_pixel_ap,0.2860133421659926
total_classes,3
total_tasks,3
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
leather_img_auc,1.0
leather_pixel_auc,0.9718623213582164
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.1840245478278917
grid_img_auc,0.8629908103592314
grid_pixel_auc,0.9174977969529177
grid_img_ap,0.9499580182003007
grid_pixel_ap,0.1712458189137941
transistor_img_auc,0.7687499999999999
transistor_pixel_auc,0.9208065684982081
transistor_img_ap,0.743494537380232
transistor_pixel_ap,0.5027696597562921
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
oracle_mean_img_auc,0.8772469367864105
oracle_mean_pixel_auc,0.9367222289364475
