class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
leather,0,0.7768342391304348,0.9382585352573016,False,1.0
grid,1,0.8345864661654135,0.9175455522774454,False,1.0
transistor,2,0.74875,0.9162862624575324,False,1.0
carpet,3,0.9506420545746389,0.9546782351088348,False,1.0
zipper,4,0.926733193277311,0.8838759518367033,False,1.0
hazelnut,5,0.9642857142857144,0.975445695990172,False,1.0
toothbrush,6,0.8055555555555556,0.9481424392722849,False,0.9761904761904762
metal_nut,7,0.9393939393939394,0.9746339925731855,False,1.0
screw,8,0.4929288788686206,0.8746829671324615,True,1.0
Average,,0.8266344490279587,0.9315055146562136,,0.9973544973544973
Task_0_Average,0,0.7768342391304348,0.9382585352573016,,1.0
Task_1_Average,1,0.8345864661654135,0.9175455522774454,,1.0
Task_2_Average,2,0.74875,0.9162862624575324,,1.0
Task_3_Average,3,0.9506420545746389,0.9546782351088348,,1.0
Task_4_Average,4,0.926733193277311,0.8838759518367033,,1.0
Task_5_Average,5,0.9642857142857144,0.975445695990172,,1.0
Task_6_Average,6,0.8055555555555556,0.9481424392722849,,0.9761904761904762
Task_7_Average,7,0.9393939393939394,0.9746339925731855,,1.0
Task_8_Average,8,0.4929288788686206,0.8746829671324615,,1.0
