class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,0.2857142857142857,0.13131296545584017,False,1.0
cable,1,0.7275112443778111,0.808414821005701,False,1.0
capsule,2,0.5081771041084963,0.7725019657860281,False,1.0
carpet,3,0.800561797752809,0.9161857941412502,False,1.0
grid,4,0.7744360902255639,0.9056723256280285,False,1.0
hazelnut,5,0.9478571428571428,0.9681100249178584,False,1.0
leather,6,0.9976222826086957,0.9641987701464201,False,1.0
metal_nut,7,0.9237536656891496,0.9704191980329286,False,1.0
pill,8,0.8229678123295144,0.9478853982567393,False,0.9880239520958084
screw,9,0.4902643984423037,0.8619798558035145,False,1.0
tile,10,0.998917748917749,0.8734511292388787,True,1.0
Average,,0.7525257793657747,0.8291029316739261,,0.9989112683723462
Task_0_Average,0,0.2857142857142857,0.13131296545584017,,1.0
Task_1_Average,1,0.7275112443778111,0.808414821005701,,1.0
Task_2_Average,2,0.5081771041084963,0.7725019657860281,,1.0
Task_3_Average,3,0.800561797752809,0.9161857941412502,,1.0
Task_4_Average,4,0.7744360902255639,0.9056723256280285,,1.0
Task_5_Average,5,0.9478571428571428,0.9681100249178584,,1.0
Task_6_Average,6,0.9976222826086957,0.9641987701464201,,1.0
Task_7_Average,7,0.9237536656891496,0.9704191980329286,,1.0
Task_8_Average,8,0.8229678123295144,0.9478853982567393,,0.9880239520958084
Task_9_Average,9,0.4902643984423037,0.8619798558035145,,1.0
Task_10_Average,10,0.998917748917749,0.8734511292388787,,1.0
