metric,value
experiment_name,Version3-WhiteningAdapter_DIA_OGP_all_classes_alphabet_order
strategy,MoLE-Flow
final_average_img_auc,0.7158727479594875
final_average_pixel_auc,0.8066670579229711
final_average_img_ap,0.869161156308066
final_average_pixel_ap,0.2258470031104009
total_classes,15
total_tasks,15
final_routing_accuracy,0.9982608695652174
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,0.29761904761904756
bottle_pixel_auc,0.12117537325281474
bottle_img_ap,0.7067356730238246
bottle_pixel_ap,0.03139138264185243
cable_img_auc,0.572151424287856
cable_pixel_auc,0.7281524040090094
cable_img_ap,0.721288020959638
cable_pixel_ap,0.27334289536471884
capsule_img_auc,0.45073793378540083
capsule_pixel_auc,0.5635706637810592
capsule_img_ap,0.817703823593364
capsule_pixel_ap,0.010751895170301569
carpet_img_auc,0.5642054574638844
carpet_pixel_auc,0.8215754259597922
carpet_img_ap,0.8387596991284902
carpet_pixel_ap,0.1941811064585411
grid_img_auc,0.6549707602339181
grid_pixel_auc,0.83296347215999
grid_img_ap,0.8659377837699491
grid_pixel_ap,0.06177890438679488
hazelnut_img_auc,0.8646428571428573
hazelnut_pixel_auc,0.9342017569460613
hazelnut_img_ap,0.9196532650977964
hazelnut_pixel_ap,0.19366307201809008
leather_img_auc,0.9782608695652174
leather_pixel_auc,0.9388211761572713
leather_img_ap,0.9929361765837057
leather_pixel_ap,0.11737588334101551
metal_nut_img_auc,0.8856304985337243
metal_nut_pixel_auc,0.9442888494784789
metal_nut_img_ap,0.9718014858493145
metal_nut_pixel_ap,0.6333658358227149
pill_img_auc,0.7806873977086743
pill_pixel_auc,0.9269232945381829
pill_img_ap,0.9522075097946433
pill_pixel_ap,0.2744142008417962
screw_img_auc,0.27177700348432055
screw_pixel_auc,0.8045842808864232
screw_img_ap,0.6634172344194487
screw_pixel_ap,0.01291109163777518
tile_img_auc,0.998917748917749
tile_pixel_auc,0.8790073254089444
tile_img_ap,0.999581421715973
tile_pixel_ap,0.3101934284036339
toothbrush_img_auc,0.7861111111111111
toothbrush_pixel_auc,0.9457768741923626
toothbrush_img_ap,0.9130230042023197
toothbrush_pixel_ap,0.14113853625865824
transistor_img_auc,0.76125
transistor_pixel_auc,0.9188199561033686
transistor_img_ap,0.7395565937701747
transistor_pixel_ap,0.5001462420008811
wood_img_auc,0.9491228070175439
wood_pixel_auc,0.8894691316344895
wood_img_ap,0.9803826377896151
wood_pixel_ap,0.4406917471052908
zipper_img_auc,0.9220063025210085
zipper_pixel_auc,0.8506758843363195
zipper_img_ap,0.9544330149227329
zipper_pixel_ap,0.19235882520394856
---additional_metrics---,
overall_routing_accuracy,0.9982608695652174
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,0.9880239520958084
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,0.9761904761904762
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.7158727479594875
oracle_mean_pixel_auc,0.8071052333496428
