task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,183792.13958333334,9.984740801978984e-05,,,,,,
0,1.0,BASE,149153.19375,9.939057285945931e-05,,,,,,
0,2.0,BASE,101332.19427083334,9.863231105968498e-05,,,,,,
0,3.0,BASE,63677.1046875,9.75772975566101e-05,,,,,,
0,4.0,BASE,38442.301041666666,9.623203685930868e-05,,,,,,
0,5.0,BASE,22800.822916666668,9.46048229473242e-05,,,,,,
0,6.0,BASE,11899.384700520834,9.270568813552755e-05,,,,,,
0,7.0,BASE,3524.1082275390627,9.054634122155989e-05,,,,,,
0,8.0,BASE,-3236.0389485677083,8.814009529720152e-05,,,,,,
0,9.0,BASE,-9028.383821614583,8.550178566873408e-05,,,,,,
0,10.0,BASE,-13938.125455729167,8.264767839234409e-05,,,,,,
0,11.0,BASE,-18220.236328125,7.959536998847741e-05,,,,,,
0,12.0,BASE,-21785.062630208333,7.636367895343945e-05,,,,,,
0,13.0,BASE,-25073.639973958332,7.297252973710755e-05,,,,,,
0,14.0,BASE,-27910.088151041666,6.944282990207194e-05,,,,,,
0,15.0,BASE,-30359.104296875,6.57963412215599e-05,,,,,,
0,16.0,BASE,-32545.623567708335,6.205554551086731e-05,,,,,,
0,17.0,BASE,-34641.15416666667,5.824350601949142e-05,,,,,,
0,18.0,BASE,-36391.812760416666,5.438372523852832e-05,,,,,,
0,19.0,BASE,-38185.06458333333,5.0499999999999994e-05,,,,,,
0,20.0,BASE,-39546.93046875,4.6616274761471674e-05,,,,,,
0,21.0,BASE,-41043.14296875,4.275649398050858e-05,,,,,,
0,22.0,BASE,-42205.941145833334,3.894445448913268e-05,,,,,,
0,23.0,BASE,-43218.74609375,3.52036587784401e-05,,,,,,
0,24.0,BASE,-44324.27786458333,3.155717009792805e-05,,,,,,
0,25.0,BASE,-45287.79791666667,2.802747026289243e-05,,,,,,
0,26.0,BASE,-45968.06328125,2.463632104656053e-05,,,,,,
0,27.0,BASE,-46701.47473958333,2.1404630011522583e-05,,,,,,
0,28.0,BASE,-47318.4359375,1.835232160765591e-05,,,,,,
0,29.0,BASE,-47825.37005208333,1.5498214331265897e-05,,,,,,
0,30.0,BASE,-48319.4078125,1.2859904702798466e-05,,,,,,
0,31.0,BASE,-48668.757552083334,1.0453658778440104e-05,,,,,,
0,32.0,BASE,-49045.58411458333,8.294311864472434e-06,,,,,,
0,33.0,BASE,-49280.577864583334,6.395177052675791e-06,,,,,,
0,34.0,BASE,-49489.24036458333,4.767963140691304e-06,,,,,,
0,35.0,BASE,-49609.00494791667,3.4227024433898985e-06,,,,,,
0,36.0,BASE,-49867.62942708333,2.3676889403150093e-06,,,,,,
0,37.0,BASE,-49889.7,1.6094271405406855e-06,,,,,,
0,38.0,BASE,-49980.44869791667,1.1525919802101657e-06,,,,,,
0,39.0,BASE,-49920.823958333334,1.0000000000000002e-06,,,,,,
1,0.0,FAST,549330.486328125,5e-05,,,,,,
1,1.0,FAST,457160.646484375,0.0001,,,,,,
1,2.0,FAST,358808.166015625,9.984740801978984e-05,,,,,,
1,3.0,FAST,283567.015625,9.939057285945931e-05,,,,,,
1,4.0,FAST,227318.7158203125,9.863231105968498e-05,,,,,,
1,5.0,FAST,188460.705078125,9.75772975566101e-05,,,,,,
1,6.0,FAST,161015.2587890625,9.623203685930868e-05,,,,,,
1,7.0,FAST,141823.08984375,9.46048229473242e-05,,,,,,
1,8.0,FAST,127908.9453125,9.270568813552755e-05,,,,,,
1,9.0,FAST,117035.68896484375,9.054634122155989e-05,,,,,,
1,10.0,FAST,107584.173828125,8.814009529720152e-05,,,,,,
1,11.0,FAST,98784.7451171875,8.550178566873408e-05,,,,,,
1,12.0,FAST,90359.65625,8.264767839234409e-05,,,,,,
1,13.0,FAST,82817.05126953125,7.959536998847741e-05,,,,,,
1,14.0,FAST,76045.95703125,7.636367895343945e-05,,,,,,
1,15.0,FAST,70337.1171875,7.297252973710755e-05,,,,,,
1,16.0,FAST,65447.7763671875,6.944282990207194e-05,,,,,,
1,17.0,FAST,61633.171630859375,6.57963412215599e-05,,,,,,
1,18.0,FAST,58582.79345703125,6.205554551086731e-05,,,,,,
1,19.0,FAST,55907.081787109375,5.824350601949142e-05,,,,,,
1,20.0,FAST,53621.458984375,5.438372523852832e-05,,,,,,
1,21.0,FAST,51655.0966796875,5.0499999999999994e-05,,,,,,
1,22.0,FAST,50013.553955078125,4.6616274761471674e-05,,,,,,
1,23.0,FAST,48706.378173828125,4.275649398050858e-05,,,,,,
1,24.0,FAST,47395.26416015625,3.894445448913268e-05,,,,,,
1,25.0,FAST,46376.26220703125,3.52036587784401e-05,,,,,,
1,26.0,FAST,45325.890380859375,3.155717009792805e-05,,,,,,
1,27.0,FAST,44585.375732421875,2.802747026289243e-05,,,,,,
1,28.0,FAST,44170.05517578125,2.463632104656053e-05,,,,,,
1,29.0,FAST,43449.31982421875,2.1404630011522583e-05,,,,,,
1,30.0,FAST,43008.693359375,1.835232160765591e-05,,,,,,
1,31.0,FAST,42358.179931640625,1.5498214331265897e-05,,,,,,
1,32.0,FAST,42055.734130859375,1.2859904702798466e-05,,,,,,
1,33.0,FAST,41861.349609375,1.0453658778440104e-05,,,,,,
1,34.0,FAST,41546.28955078125,8.294311864472434e-06,,,,,,
1,35.0,FAST,41384.141357421875,6.395177052675791e-06,,,,,,
1,36.0,FAST,41134.27587890625,4.767963140691304e-06,,,,,,
1,37.0,FAST,41042.759765625,3.4227024433898985e-06,,,,,,
1,38.0,FAST,41109.133544921875,2.3676889403150093e-06,,,,,,
1,39.0,FAST,40987.926025390625,1.6094271405406855e-06,,,,,,
2,0.0,FAST,153282.58052884616,5e-05,,,,,,
2,1.0,FAST,145026.34615384616,0.0001,,,,,,
2,2.0,FAST,135397.27463942306,9.984740801978984e-05,,,,,,
2,3.0,FAST,127123.26802884616,9.939057285945931e-05,,,,,,
2,4.0,FAST,120231.62139423077,9.863231105968498e-05,,,,,,
2,5.0,FAST,114394.32572115384,9.75772975566101e-05,,,,,,
2,6.0,FAST,109301.51322115384,9.623203685930868e-05,,,,,,
2,7.0,FAST,104589.79867788461,9.46048229473242e-05,,,,,,
2,8.0,FAST,100024.43870192308,9.270568813552755e-05,,,,,,
2,9.0,FAST,95494.89182692308,9.054634122155989e-05,,,,,,
2,10.0,FAST,90975.71754807692,8.814009529720152e-05,,,,,,
2,11.0,FAST,86556.77403846153,8.550178566873408e-05,,,,,,
2,12.0,FAST,82229.95252403847,8.264767839234409e-05,,,,,,
2,13.0,FAST,78076.41286057692,7.959536998847741e-05,,,,,,
2,14.0,FAST,74144.25300480769,7.636367895343945e-05,,,,,,
2,15.0,FAST,70484.4375,7.297252973710755e-05,,,,,,
2,16.0,FAST,67109.09375,6.944282990207194e-05,,,,,,
2,17.0,FAST,64091.08082932692,6.57963412215599e-05,,,,,,
2,18.0,FAST,61383.29236778846,6.205554551086731e-05,,,,,,
2,19.0,FAST,58945.85426682692,5.824350601949142e-05,,,,,,
2,20.0,FAST,56890.35276442308,5.438372523852832e-05,,,,,,
2,21.0,FAST,54967.57542067308,5.0499999999999994e-05,,,,,,
2,22.0,FAST,53315.473557692305,4.6616274761471674e-05,,,,,,
2,23.0,FAST,51953.15414663462,4.275649398050858e-05,,,,,,
2,24.0,FAST,50706.04477163462,3.894445448913268e-05,,,,,,
2,25.0,FAST,49645.916466346156,3.52036587784401e-05,,,,,,
2,26.0,FAST,48770.817307692305,3.155717009792805e-05,,,,,,
2,27.0,FAST,47846.33924278846,2.802747026289243e-05,,,,,,
2,28.0,FAST,47156.76171875,2.463632104656053e-05,,,,,,
2,29.0,FAST,46633.96153846154,2.1404630011522583e-05,,,,,,
2,30.0,FAST,46002.04116586538,1.835232160765591e-05,,,,,,
2,31.0,FAST,45640.215745192305,1.5498214331265897e-05,,,,,,
2,32.0,FAST,45218.956730769234,1.2859904702798466e-05,,,,,,
2,33.0,FAST,44907.46033653846,1.0453658778440104e-05,,,,,,
2,34.0,FAST,44671.78245192308,8.294311864472434e-06,,,,,,
2,35.0,FAST,44479.039963942305,6.395177052675791e-06,,,,,,
2,36.0,FAST,44424.424879807695,4.767963140691304e-06,,,,,,
2,37.0,FAST,44192.246394230766,3.4227024433898985e-06,,,,,,
2,38.0,FAST,44173.717848557695,2.3676889403150093e-06,,,,,,
2,39.0,FAST,44049.500901442305,1.6094271405406855e-06,,,,,,
0,,,,,leather,1.0,0.9689399786966088,1.0000000000000002,0.1669660925870454,1.0
0,,,,,Task_0_Average,1.0,0.9689399786966088,1.0000000000000002,0.1669660925870454,1.0
-1,,,,,Overall_Average,1.0,0.9689399786966088,1.0000000000000002,0.1669660925870454,1.0
0,,,,,leather,1.0,0.9789122949993517,1.0000000000000002,0.20493044092325036,1.0
1,,,,,grid,0.733500417710944,0.8593773629541895,0.8841686577344996,0.1140560940856773,1.0
0,,,,,Task_0_Average,1.0,0.9789122949993517,1.0000000000000002,0.20493044092325036,1.0
1,,,,,Task_1_Average,0.733500417710944,0.8593773629541895,0.8841686577344996,0.1140560940856773,1.0
-1,,,,,Overall_Average,0.8667502088554719,0.9191448289767706,0.9420843288672499,0.15949326750446383,1.0
0,,,,,leather,1.0,0.9808312619612507,1.0000000000000002,0.21439495657601187,1.0
1,,,,,grid,0.6165413533834586,0.8783664000286509,0.831164775463626,0.13491982660081725,1.0
2,,,,,transistor,0.5741666666666667,0.764982823410876,0.5756209416610062,0.20840801681685067,1.0
0,,,,,Task_0_Average,1.0,0.9808312619612507,1.0000000000000002,0.21439495657601187,1.0
1,,,,,Task_1_Average,0.6165413533834586,0.8783664000286509,0.831164775463626,0.13491982660081725,1.0
2,,,,,Task_2_Average,0.5741666666666667,0.764982823410876,0.5756209416610062,0.20840801681685067,1.0
-1,,,,,Overall_Average,0.7302360066833752,0.8747268284669257,0.8022619057082108,0.18590759999789327,1.0
