metric,value
experiment_name,Version3-WhiteningAdapter_only
strategy,MoLE-Flow
final_average_img_auc,0.7302360066833752
final_average_pixel_auc,0.8747268284669257
final_average_img_ap,0.8022619057082108
final_average_pixel_ap,0.18590759999789327
total_classes,3
total_tasks,3
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
leather_img_auc,1.0
leather_pixel_auc,0.9808312619612507
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.21439495657601187
grid_img_auc,0.6165413533834586
grid_pixel_auc,0.8783664000286509
grid_img_ap,0.831164775463626
grid_pixel_ap,0.13491982660081725
transistor_img_auc,0.5741666666666667
transistor_pixel_auc,0.764982823410876
transistor_img_ap,0.5756209416610062
transistor_pixel_ap,0.20840801681685067
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
oracle_mean_img_auc,0.7302360066833752
oracle_mean_pixel_auc,0.8747268284669257
