class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
leather,0,1.0,0.9721332639302402,False,1.0
grid,1,0.8454469507101087,0.9080003086899254,False,1.0
transistor,2,0.77375,0.9267055550857713,False,1.0
carpet,3,0.9674959871589085,0.9649883394076838,False,1.0
zipper,4,0.9353991596638656,0.8543184648597316,False,1.0
hazelnut,5,0.9507142857142857,0.9682393414019056,True,1.0
Average,,0.9121343972078614,0.932397545562543,,1.0
Task_0_Average,0,1.0,0.9721332639302402,,1.0
Task_1_Average,1,0.8454469507101087,0.9080003086899254,,1.0
Task_2_Average,2,0.77375,0.9267055550857713,,1.0
Task_3_Average,3,0.9674959871589085,0.9649883394076838,,1.0
Task_4_Average,4,0.9353991596638656,0.8543184648597316,,1.0
Task_5_Average,5,0.9507142857142857,0.9682393414019056,,1.0
