class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,0.9992063492063492,0.9474598850334037,False,1.0
cable,1,0.8568215892053973,0.9075847815625699,False,1.0
capsule,2,0.6557638611886717,0.9310755063232746,False,1.0
carpet,3,0.9634831460674157,0.9595974652303226,False,1.0
grid,4,0.8237259816207185,0.9024323616391615,False,1.0
hazelnut,5,0.9528571428571428,0.9655074123607953,False,1.0
leather,6,1.0,0.9769616076186567,False,1.0
metal_nut,7,0.9462365591397849,0.9719521462512144,False,1.0
pill,8,0.828696126568467,0.9488871328678485,False,0.9880239520958084
screw,9,0.40008198401311745,0.8443548809511691,False,1.0
tile,10,1.0,0.8856114920424832,False,1.0
toothbrush,11,0.7972222222222223,0.9457839505248478,True,0.9761904761904762
Average,,0.8520079135074407,0.932267385200479,,0.997017869023857
Task_0_Average,0,0.9992063492063492,0.9474598850334037,,1.0
Task_1_Average,1,0.8568215892053973,0.9075847815625699,,1.0
Task_2_Average,2,0.6557638611886717,0.9310755063232746,,1.0
Task_3_Average,3,0.9634831460674157,0.9595974652303226,,1.0
Task_4_Average,4,0.8237259816207185,0.9024323616391615,,1.0
Task_5_Average,5,0.9528571428571428,0.9655074123607953,,1.0
Task_6_Average,6,1.0,0.9769616076186567,,1.0
Task_7_Average,7,0.9462365591397849,0.9719521462512144,,1.0
Task_8_Average,8,0.828696126568467,0.9488871328678485,,0.9880239520958084
Task_9_Average,9,0.40008198401311745,0.8443548809511691,,1.0
Task_10_Average,10,1.0,0.8856114920424832,,1.0
Task_11_Average,11,0.7972222222222223,0.9457839505248478,,0.9761904761904762
