Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,0.9992,0.9483,0.9998,0.4366
1,cable,100.00,0.8536,0.9077,0.9135,0.4198
2,capsule,100.00,0.6542,0.9319,0.8999,0.1151
3,carpet,100.00,0.9639,0.9599,0.9896,0.4074
4,grid,100.00,0.8254,0.9027,0.9332,0.1508
5,hazelnut,100.00,0.9546,0.9656,0.9742,0.3336
6,leather,100.00,1.0000,0.9771,1.0000,0.2295
7,metal_nut,100.00,0.9448,0.9722,0.9877,0.8032
8,pill,98.80,0.8320,0.9495,0.9642,0.3624
9,screw,100.00,0.3982,0.8449,0.7067,0.0196
10,tile,100.00,1.0000,0.8852,1.0000,0.4001
11,toothbrush,97.62,0.7861,0.9471,0.9173,0.1415
12,transistor,100.00,0.7596,0.9365,0.7371,0.5965
13,wood,100.00,0.9465,0.8888,0.9784,0.4602
14,zipper,100.00,0.9278,0.8500,0.9563,0.1761
Mean,Overall,99.76,0.8564*,0.9245*,0.9305*,0.3368*
