Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,leather,100.00,1.0000,0.9720,1.0000,0.1899
1,grid,100.00,0.8956,0.9082,0.9626,0.1494
2,transistor,100.00,0.7754,0.9270,0.7408,0.5214
3,carpet,100.00,0.9755,0.9648,0.9931,0.4522
4,zipper,100.00,0.9288,0.8550,0.9714,0.1905
5,hazelnut,100.00,0.9529,0.9682,0.9684,0.4054
6,toothbrush,97.62,0.7861,0.9459,0.9183,0.1423
7,metal_nut,100.00,0.9565,0.9776,0.9903,0.8767
8,screw,100.00,0.4575,0.8573,0.7443,0.0282
9,wood,100.00,0.9798,0.8949,0.9941,0.4832
10,tile,100.00,1.0000,0.8843,1.0000,0.4154
11,capsule,100.00,0.6881,0.9388,0.9118,0.1524
12,pill,98.80,0.8391,0.9513,0.9649,0.4055
13,cable,100.00,0.8771,0.9102,0.9300,0.4421
14,bottle,100.00,0.9992,0.9571,0.9998,0.5428
Mean,Overall,99.76,0.8741*,0.9275*,0.9393*,0.3598*
