metric,value
experiment_name,Version5.2-ScoreAgg_topk3_all_classes_alphabet_order
strategy,MoLE-Flow
final_average_img_auc,0.8672035905722139
final_average_pixel_auc,0.9239111418618722
final_average_img_ap,0.9363810467211781
final_average_pixel_ap,0.3368276074836748
total_classes,15
total_tasks,15
final_routing_accuracy,0.9982608695652174
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,1.0
bottle_pixel_auc,0.9449429393847624
bottle_img_ap,0.9999999999999998
bottle_pixel_ap,0.4211262481722038
cable_img_auc,0.8680659670164917
cable_pixel_auc,0.9075325682409856
cable_img_ap,0.9216375927873168
cable_pixel_ap,0.424551486033337
capsule_img_auc,0.6621459912245712
capsule_pixel_auc,0.9295706127817726
capsule_img_ap,0.9001571157721204
capsule_pixel_ap,0.10957143511776844
carpet_img_auc,0.9699036918138041
carpet_pixel_auc,0.959570206962901
carpet_img_ap,0.9915677922436521
carpet_pixel_ap,0.41921964265678613
grid_img_auc,0.8654970760233919
grid_pixel_auc,0.9016686520418367
grid_img_ap,0.9478385332930646
grid_pixel_ap,0.1473925203094931
hazelnut_img_auc,0.9485714285714286
hazelnut_pixel_auc,0.9656051711092452
hazelnut_img_ap,0.9674232145327579
hazelnut_pixel_ap,0.33518661739418704
leather_img_auc,1.0
leather_pixel_auc,0.9768769241348961
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.23134647701719388
metal_nut_img_auc,0.9613880742913001
metal_nut_pixel_auc,0.9717974456257096
metal_nut_img_ap,0.9915202386827177
metal_nut_pixel_ap,0.8022990249767246
pill_img_auc,0.8450627386797599
pill_pixel_auc,0.9485533074854373
pill_img_ap,0.9674632457790215
pill_pixel_ap,0.36125467534769384
screw_img_auc,0.448042631686821
screw_pixel_auc,0.8442268206616097
screw_img_ap,0.7541601831758646
screw_pixel_ap,0.019389877734668378
tile_img_auc,1.0
tile_pixel_auc,0.8865735648952013
tile_img_ap,0.9999999999999998
tile_pixel_ap,0.40552742167994843
toothbrush_img_auc,0.8027777777777778
toothbrush_pixel_auc,0.9455802548068151
toothbrush_img_ap,0.9246761738497711
toothbrush_pixel_ap,0.13944246144160682
transistor_img_auc,0.7679166666666666
transistor_pixel_auc,0.936997213382845
transistor_img_ap,0.7427144038689037
transistor_pixel_ap,0.6017512961282192
wood_img_auc,0.9508771929824561
wood_pixel_auc,0.8887754356269952
wood_img_ap,0.9797091751485277
wood_pixel_ap,0.45817451540793236
zipper_img_auc,0.9178046218487396
zipper_pixel_auc,0.8503960107870684
zipper_img_ap,0.9568480316839503
zipper_pixel_ap,0.17618041283735936
---additional_metrics---,
overall_routing_accuracy,0.9982608695652174
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,0.9880239520958084
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,0.9761904761904762
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.8672035905722139
oracle_mean_pixel_auc,0.9241683187386116
