task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,168270.21770833334,9.984740801978984e-05,,,,,,
0,1.0,BASE,107704.6828125,9.939057285945931e-05,,,,,,
0,2.0,BASE,47016.78958333333,9.863231105968498e-05,,,,,,
0,3.0,BASE,8699.75205891927,9.75772975566101e-05,,,,,,
0,4.0,BASE,-21913.724739583333,9.623203685930868e-05,,,,,,
0,5.0,BASE,-42856.462239583336,9.46048229473242e-05,,,,,,
0,6.0,BASE,-56210.73489583333,9.270568813552755e-05,,,,,,
0,7.0,BASE,-65551.11041666666,9.054634122155989e-05,,,,,,
0,8.0,BASE,-72975.72916666667,8.814009529720152e-05,,,,,,
0,9.0,BASE,-78862.109375,8.550178566873408e-05,,,,,,
0,10.0,BASE,-83135.78125,8.264767839234409e-05,,,,,,
0,11.0,BASE,-86688.5140625,7.959536998847741e-05,,,,,,
0,12.0,BASE,-89625.85364583334,7.636367895343945e-05,,,,,,
0,13.0,BASE,-92270.503125,7.297252973710755e-05,,,,,,
0,14.0,BASE,-94385.2015625,6.944282990207194e-05,,,,,,
0,15.0,BASE,-96473.12447916667,6.57963412215599e-05,,,,,,
0,16.0,BASE,-98706.87916666667,6.205554551086731e-05,,,,,,
0,17.0,BASE,-100971.07708333334,5.824350601949142e-05,,,,,,
0,18.0,BASE,-102904.48020833333,5.438372523852832e-05,,,,,,
0,19.0,BASE,-104769.33333333333,5.0499999999999994e-05,,,,,,
0,20.0,BASE,-106073.803125,4.6616274761471674e-05,,,,,,
0,21.0,BASE,-107195.67395833334,4.275649398050858e-05,,,,,,
0,22.0,BASE,-108632.67760416666,3.894445448913268e-05,,,,,,
0,23.0,BASE,-109147.39166666666,3.52036587784401e-05,,,,,,
0,24.0,BASE,-110364.77291666667,3.155717009792805e-05,,,,,,
0,25.0,BASE,-111240.75833333333,2.802747026289243e-05,,,,,,
0,26.0,BASE,-112125.4546875,2.463632104656053e-05,,,,,,
0,27.0,BASE,-112663.30052083333,2.1404630011522583e-05,,,,,,
0,28.0,BASE,-113364.259375,1.835232160765591e-05,,,,,,
0,29.0,BASE,-113785.77708333333,1.5498214331265897e-05,,,,,,
0,30.0,BASE,-114273.09270833334,1.2859904702798466e-05,,,,,,
0,31.0,BASE,-114701.87447916667,1.0453658778440104e-05,,,,,,
0,32.0,BASE,-115116.00625,8.294311864472434e-06,,,,,,
0,33.0,BASE,-115503.9359375,6.395177052675791e-06,,,,,,
0,34.0,BASE,-115755.140625,4.767963140691304e-06,,,,,,
0,35.0,BASE,-115844.925,3.4227024433898985e-06,,,,,,
0,36.0,BASE,-116045.65833333334,2.3676889403150093e-06,,,,,,
0,37.0,BASE,-116065.55260416666,1.6094271405406855e-06,,,,,,
0,38.0,BASE,-116310.03229166666,1.1525919802101657e-06,,,,,,
0,39.0,BASE,-116284.67552083333,1.0000000000000002e-06,,,,,,
1,0.0,FAST,123399.904296875,5e-05,,,,,,
1,1.0,FAST,95684.03149414062,0.0001,,,,,,
1,2.0,FAST,33415.92712402344,9.984740801978984e-05,,,,,,
1,3.0,FAST,5644.986846923828,9.939057285945931e-05,,,,,,
1,4.0,FAST,-7135.497085571289,9.863231105968498e-05,,,,,,
1,5.0,FAST,-15668.779602050781,9.75772975566101e-05,,,,,,
1,6.0,FAST,-23358.773376464844,9.623203685930868e-05,,,,,,
1,7.0,FAST,-30983.4638671875,9.46048229473242e-05,,,,,,
1,8.0,FAST,-38424.26513671875,9.270568813552755e-05,,,,,,
1,9.0,FAST,-44017.5390625,9.054634122155989e-05,,,,,,
1,10.0,FAST,-49144.8427734375,8.814009529720152e-05,,,,,,
1,11.0,FAST,-53371.130859375,8.550178566873408e-05,,,,,,
1,12.0,FAST,-56791.89111328125,8.264767839234409e-05,,,,,,
1,13.0,FAST,-59576.97900390625,7.959536998847741e-05,,,,,,
1,14.0,FAST,-62548.613037109375,7.636367895343945e-05,,,,,,
1,15.0,FAST,-65335.405517578125,7.297252973710755e-05,,,,,,
1,16.0,FAST,-67356.791015625,6.944282990207194e-05,,,,,,
1,17.0,FAST,-69304.0615234375,6.57963412215599e-05,,,,,,
1,18.0,FAST,-70853.35302734375,6.205554551086731e-05,,,,,,
1,19.0,FAST,-72698.2041015625,5.824350601949142e-05,,,,,,
1,20.0,FAST,-73893.56298828125,5.438372523852832e-05,,,,,,
1,21.0,FAST,-75427.97607421875,5.0499999999999994e-05,,,,,,
1,22.0,FAST,-76402.23583984375,4.6616274761471674e-05,,,,,,
1,23.0,FAST,-77560.5419921875,4.275649398050858e-05,,,,,,
1,24.0,FAST,-78794.966796875,3.894445448913268e-05,,,,,,
1,25.0,FAST,-79591.7001953125,3.52036587784401e-05,,,,,,
1,26.0,FAST,-80244.919921875,3.155717009792805e-05,,,,,,
1,27.0,FAST,-81035.2734375,2.802747026289243e-05,,,,,,
1,28.0,FAST,-81698.28857421875,2.463632104656053e-05,,,,,,
1,29.0,FAST,-82318.7705078125,2.1404630011522583e-05,,,,,,
1,30.0,FAST,-82695.63720703125,1.835232160765591e-05,,,,,,
1,31.0,FAST,-83374.82861328125,1.5498214331265897e-05,,,,,,
1,32.0,FAST,-83748.2587890625,1.2859904702798466e-05,,,,,,
1,33.0,FAST,-84114.45849609375,1.0453658778440104e-05,,,,,,
1,34.0,FAST,-84373.90478515625,8.294311864472434e-06,,,,,,
1,35.0,FAST,-84717.416015625,6.395177052675791e-06,,,,,,
1,36.0,FAST,-84852.58984375,4.767963140691304e-06,,,,,,
1,37.0,FAST,-85019.1357421875,3.4227024433898985e-06,,,,,,
1,38.0,FAST,-85291.60693359375,2.3676889403150093e-06,,,,,,
1,39.0,FAST,-85279.29931640625,1.6094271405406855e-06,,,,,,
2,0.0,FAST,125949.95492788461,5e-05,,,,,,
2,1.0,FAST,109045.22536057692,0.0001,,,,,,
2,2.0,FAST,60945.496995192305,9.984740801978984e-05,,,,,,
2,3.0,FAST,21668.71198918269,9.939057285945931e-05,,,,,,
2,4.0,FAST,3910.845426119291,9.863231105968498e-05,,,,,,
2,5.0,FAST,-8595.950927734375,9.75772975566101e-05,,,,,,
2,6.0,FAST,-17598.363506610578,9.623203685930868e-05,,,,,,
2,7.0,FAST,-24026.92578125,9.46048229473242e-05,,,,,,
2,8.0,FAST,-28577.195763221152,9.270568813552755e-05,,,,,,
2,9.0,FAST,-32314.848407451922,9.054634122155989e-05,,,,,,
2,10.0,FAST,-35801.000450721156,8.814009529720152e-05,,,,,,
2,11.0,FAST,-39031.69320913462,8.550178566873408e-05,,,,,,
2,12.0,FAST,-41867.93960336538,8.264767839234409e-05,,,,,,
2,13.0,FAST,-44661.417668269234,7.959536998847741e-05,,,,,,
2,14.0,FAST,-46859.347956730766,7.636367895343945e-05,,,,,,
2,15.0,FAST,-48938.383112980766,7.297252973710755e-05,,,,,,
2,16.0,FAST,-50619.221754807695,6.944282990207194e-05,,,,,,
2,17.0,FAST,-52286.66917067308,6.57963412215599e-05,,,,,,
2,18.0,FAST,-53643.41616586538,6.205554551086731e-05,,,,,,
2,19.0,FAST,-55398.9453125,5.824350601949142e-05,,,,,,
2,20.0,FAST,-56729.22596153846,5.438372523852832e-05,,,,,,
2,21.0,FAST,-57911.528846153844,5.0499999999999994e-05,,,,,,
2,22.0,FAST,-58826.18689903846,4.6616274761471674e-05,,,,,,
