metric,value
experiment_name,Version4.3-ScoreAgg_topk3_no_ln
strategy,MoLE-Flow
final_average_img_auc,0.8508218462823726
final_average_pixel_auc,0.9258621497341322
final_average_img_ap,0.8690884941543376
final_average_pixel_ap,0.2484964169006516
total_classes,3
total_tasks,3
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
leather_img_auc,1.0
leather_pixel_auc,0.9693151120275152
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.16426218235899256
grid_img_auc,0.8195488721804511
grid_pixel_auc,0.8890215875149561
grid_img_ap,0.9290249591097741
grid_pixel_ap,0.13569459016930854
transistor_img_auc,0.7329166666666667
transistor_pixel_auc,0.9192497496599253
transistor_img_ap,0.6782405233532388
transistor_pixel_ap,0.44553247817365366
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
oracle_mean_img_auc,0.8508218462823726
oracle_mean_pixel_auc,0.9258621497341322
