class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9681787787810229,False,1.0
cable,1,0.9801349325337332,0.968995746205406,False,1.0
capsule,2,0.9202233745512565,0.9857403575456852,False,1.0
screw,3,0.8397212543554007,0.9765571602615961,False,1.0
toothbrush,4,0.8,0.9841324740493073,True,1.0
Average,,0.9080159122880781,0.9767209033686035,,1.0
Task_0_Average,0,1.0,0.9681787787810229,,1.0
Task_1_Average,1,0.9801349325337332,0.968995746205406,,1.0
Task_2_Average,2,0.9202233745512565,0.9857403575456852,,1.0
Task_3_Average,3,0.8397212543554007,0.9765571602615961,,1.0
Task_4_Average,4,0.8,0.9841324740493073,,1.0
