class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9663961365102829,False,1.0
cable,1,0.9844452773613193,0.9713399845070958,False,1.0
capsule,2,0.9389708815317112,0.9858193047750874,False,1.0
screw,3,0.8737446197991391,0.979999383315452,False,1.0
toothbrush,4,0.8638888888888889,0.9846371288471518,True,1.0
Average,,0.9322099335162116,0.977638387591014,,1.0
Task_0_Average,0,1.0,0.9663961365102829,,1.0
Task_1_Average,1,0.9844452773613193,0.9713399845070958,,1.0
Task_2_Average,2,0.9389708815317112,0.9858193047750874,,1.0
Task_3_Average,3,0.8737446197991391,0.979999383315452,,1.0
Task_4_Average,4,0.8638888888888889,0.9846371288471518,,1.0
