task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,950.8209134615385,9.99321619703514e-05,,,,,,
0,1.0,BASE,701.4062687800481,9.972883382072952e-05,,,,,,
0,2.0,BASE,500.15848482572113,9.939057285945931e-05,,,,,,
0,3.0,BASE,351.1186265211839,9.891830623632337e-05,,,,,,
0,4.0,BASE,215.98558866060696,9.831332840130886e-05,,,,,,
0,5.0,BASE,106.57009183443509,9.75772975566101e-05,,,,,,
0,6.0,BASE,24.833898837749775,9.671223111161148e-05,,,,,,
0,7.0,BASE,-33.71083714411809,9.572050015330873e-05,,,,,,
0,8.0,BASE,-74.47568423931415,9.46048229473242e-05,,,,,,
0,9.0,BASE,-105.22907315767728,9.336825748732971e-05,,,,,,
0,10.0,BASE,-133.09717207688553,9.201419311329847e-05,,,,,,
0,11.0,BASE,-159.12176983173077,9.054634122155987e-05,,,,,,
0,12.0,BASE,-184.16920471191406,8.896872509212005e-05,,,,,,
0,13.0,BASE,-208.46687903771033,8.7285668861131e-05,,,,,,
0,14.0,BASE,-231.32520705003006,8.550178566873408e-05,,,,,,
0,15.0,BASE,-252.73314490685095,8.362196501476347e-05,,,,,,
0,16.0,BASE,-272.4142315204327,8.165135935696695e-05,,,,,,
0,17.0,BASE,-291.4314223069411,7.959536998847741e-05,,,,,,
0,18.0,BASE,-308.8949960561899,7.745963223324383e-05,,,,,,
0,19.0,BASE,-325.7116182767428,7.524999999999999e-05,,,,,,
0,20.0,BASE,-341.0399662898137,7.297252973710755e-05,,,,,,
0,21.0,BASE,-354.20320481520434,7.06334638322521e-05,,,,,,
0,22.0,BASE,-366.2449387770433,6.823921350249236e-05,,,,,,
0,23.0,BASE,-376.01976130558893,6.579634122155988e-05,,,,,,
0,24.0,BASE,-385.3816622220553,6.331154273257476e-05,,,,,,
0,25.0,BASE,-393.9915794959435,6.079162869547906e-05,,,,,,
0,26.0,BASE,-401.9186448317308,5.824350601949141e-05,,,,,,
0,27.0,BASE,-410.1177016038161,5.567415893174883e-05,,,,,,
0,28.0,BASE,-417.7982741135817,5.3090629834025695e-05,,,,,,
0,29.0,BASE,-425.6565129206731,5.0499999999999994e-05,,,,,,
0,30.0,BASE,-433.6891573392428,4.7909370165974273e-05,,,,,,
0,31.0,BASE,-441.5638427734375,4.532584106825115e-05,,,,,,
0,32.0,BASE,-450.25938298152045,4.275649398050856e-05,,,,,,
0,33.0,BASE,-457.5177330603966,4.02083713045209e-05,,,,,,
0,34.0,BASE,-464.6273522010216,3.768845726742522e-05,,,,,,
0,35.0,BASE,-470.95091834435095,3.52036587784401e-05,,,,,,
0,36.0,BASE,-476.37655874399036,3.276078649750763e-05,,,,,,
0,37.0,BASE,-480.9941617525541,3.0366536167747892e-05,,,,,,
0,38.0,BASE,-486.5674790602464,2.802747026289243e-05,,,,,,
0,39.0,BASE,-491.34539090670074,2.5750000000000006e-05,,,,,,
0,40.0,BASE,-495.8342989408053,2.354036776675617e-05,,,,,,
0,41.0,BASE,-499.8138028658353,2.1404630011522583e-05,,,,,,
0,42.0,BASE,-503.9308870755709,1.9348640643033054e-05,,,,,,
0,43.0,BASE,-507.69215040940503,1.7378034985236535e-05,,,,,,
0,44.0,BASE,-511.208984375,1.54982143312659e-05,,,,,,
0,45.0,BASE,-514.1359065129207,1.3714331138868995e-05,,,,,,
0,46.0,BASE,-517.0339003342849,1.203127490787994e-05,,,,,,
0,47.0,BASE,-519.8101665790265,1.0453658778440105e-05,,,,,,
0,48.0,BASE,-522.0480534480168,8.985806886701514e-06,,,,,,
0,49.0,BASE,-524.0154418945312,7.631742512670283e-06,,,,,,
0,50.0,BASE,-526.0203716571515,6.395177052675793e-06,,,,,,
0,51.0,BASE,-527.487548828125,5.2794998466912506e-06,,,,,,
0,52.0,BASE,-529.0501450758713,4.2877688883885125e-06,,,,,,
0,53.0,BASE,-530.0263296274038,3.4227024433898994e-06,,,,,,
