metric,value
experiment_name,HP-Exp4-dia4
strategy,MoLE-Flow
final_average_img_auc,0.9346768242806835
final_average_pixel_auc,0.9773337864484993
final_average_img_ap,0.9736038761773733
final_average_pixel_ap,0.4302487363487935
total_classes,5
total_tasks,5
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,1.0
bottle_pixel_auc,0.9660069935298029
bottle_img_ap,0.9999999999999998
bottle_pixel_ap,0.46177360237786524
cable_img_auc,0.9829460269865068
cable_pixel_auc,0.9722720759126069
cable_img_ap,0.9909548658866626
cable_pixel_ap,0.6613217431173343
capsule_img_auc,0.9409652971679299
capsule_pixel_auc,0.9857427380586296
capsule_img_ap,0.9853781268926626
capsule_pixel_ap,0.363566327886021
screw_img_auc,0.8716950194712031
screw_pixel_auc,0.9794187918796347
screw_img_ap,0.9483828188096377
screw_pixel_ap,0.17737684615904098
toothbrush_img_auc,0.8777777777777778
toothbrush_pixel_auc,0.9832283328618231
toothbrush_img_ap,0.9433035692979044
toothbrush_pixel_ap,0.4872051622037059
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
oracle_mean_img_auc,0.9346768242806835
oracle_mean_pixel_auc,0.9773337864484993
