task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,973.0822566105769,9.99321619703514e-05,,,,,,
0,1.0,BASE,774.9698063777043,9.972883382072952e-05,,,,,,
0,2.0,BASE,574.0622840294471,9.939057285945931e-05,,,,,,
0,3.0,BASE,433.5296677809495,9.891830623632337e-05,,,,,,
0,4.0,BASE,309.6612290602464,9.831332840130886e-05,,,,,,
0,5.0,BASE,196.88087463378906,9.75772975566101e-05,,,,,,
0,6.0,BASE,99.75837443425105,9.671223111161148e-05,,,,,,
0,7.0,BASE,27.516468634972206,9.572050015330873e-05,,,,,,
0,8.0,BASE,-21.704691520104042,9.46048229473242e-05,,,,,,
0,9.0,BASE,-61.45538095327524,9.336825748732971e-05,,,,,,
0,10.0,BASE,-94.77027482252855,9.201419311329847e-05,,,,,,
0,11.0,BASE,-124.35998769906851,9.054634122155987e-05,,,,,,
0,12.0,BASE,-150.7312516432542,8.896872509212005e-05,,,,,,
0,13.0,BASE,-174.56292137732873,8.7285668861131e-05,,,,,,
0,14.0,BASE,-195.89171306903546,8.550178566873408e-05,,,,,,
0,15.0,BASE,-215.25845689039963,8.362196501476347e-05,,,,,,
0,16.0,BASE,-233.19232177734375,8.165135935696695e-05,,,,,,
0,17.0,BASE,-249.67792334923377,7.959536998847741e-05,,,,,,
0,18.0,BASE,-264.6852452204778,7.745963223324383e-05,,,,,,
0,19.0,BASE,-278.80653029221753,7.524999999999999e-05,,,,,,
0,20.0,BASE,-292.087885929988,7.297252973710755e-05,,,,,,
0,21.0,BASE,-304.5501145582933,7.06334638322521e-05,,,,,,
0,22.0,BASE,-317.14305466871997,6.823921350249236e-05,,,,,,
0,23.0,BASE,-327.92356989933893,6.579634122155988e-05,,,,,,
0,24.0,BASE,-337.9613271859976,6.331154273257476e-05,,,,,,
0,25.0,BASE,-348.24290818434497,6.079162869547906e-05,,,,,,
0,26.0,BASE,-356.92152052659253,5.824350601949141e-05,,,,,,
0,27.0,BASE,-365.81458693284253,5.567415893174883e-05,,,,,,
0,28.0,BASE,-373.7124258188101,5.3090629834025695e-05,,,,,,
0,29.0,BASE,-382.25441096379205,5.0499999999999994e-05,,,,,,
