metric,value
experiment_name,HP-LR2e-4
strategy,MoLE-Flow
final_average_img_auc,0.8057610474656273
final_average_pixel_auc,0.9110783325704284
final_average_img_ap,0.8855693375055265
final_average_pixel_ap,0.2042344868347471
total_classes,4
total_tasks,4
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
leather_img_auc,1.0
leather_pixel_auc,0.9349711621717299
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.060731600333425215
grid_img_auc,0.9381787802840432
grid_pixel_auc,0.9065767517408106
grid_img_ap,0.9774019673147465
grid_pixel_ap,0.13038097994660616
transistor_img_auc,0.8083333333333333
transistor_pixel_auc,0.9367392773821468
transistor_img_ap,0.7990922918244728
transistor_pixel_ap,0.5975201160532917
screw_img_auc,0.47653207624513216
screw_pixel_auc,0.8660261389870263
screw_img_ap,0.7657830908828864
screw_pixel_ap,0.028305251005665426
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
oracle_mean_img_auc,0.8057610474656273
oracle_mean_pixel_auc,0.9110783325704284
