task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,908.7607381184896,9.984740801978984e-05,,,,,,
0,1.0,BASE,580.3492716471354,9.939057285945931e-05,,,,,,
0,2.0,BASE,250.07657165527343,9.863231105968498e-05,,,,,,
0,3.0,BASE,97.40879185994466,9.75772975566101e-05,,,,,,
0,4.0,BASE,-11.46038564046224,9.623203685930868e-05,,,,,,
0,5.0,BASE,-90.03513717651367,9.46048229473242e-05,,,,,,
0,6.0,BASE,-144.15848388671876,9.270568813552755e-05,,,,,,
0,7.0,BASE,-191.25001831054686,9.054634122155989e-05,,,,,,
0,8.0,BASE,-229.12054850260418,8.814009529720152e-05,,,,,,
0,9.0,BASE,-259.98309224446615,8.550178566873408e-05,,,,,,
0,10.0,BASE,-285.499473063151,8.264767839234409e-05,,,,,,
0,11.0,BASE,-306.97584025065106,7.959536998847741e-05,,,,,,
0,12.0,BASE,-326.0960673014323,7.636367895343945e-05,,,,,,
0,13.0,BASE,-342.12071736653644,7.297252973710755e-05,,,,,,
0,14.0,BASE,-355.6517333984375,6.944282990207194e-05,,,,,,
0,15.0,BASE,-367.17856648763023,6.57963412215599e-05,,,,,,
0,16.0,BASE,-377.7193135579427,6.205554551086731e-05,,,,,,
0,17.0,BASE,-388.0537089029948,5.824350601949142e-05,,,,,,
0,18.0,BASE,-396.9667114257812,5.438372523852832e-05,,,,,,
0,19.0,BASE,-406.4100789388021,5.0499999999999994e-05,,,,,,
0,20.0,BASE,-415.294091796875,4.6616274761471674e-05,,,,,,
0,21.0,BASE,-420.61118774414064,4.275649398050858e-05,,,,,,
0,22.0,BASE,-427.3166015625,3.894445448913268e-05,,,,,,
0,23.0,BASE,-432.8186808268229,3.52036587784401e-05,,,,,,
0,24.0,BASE,-438.5593566894531,3.155717009792805e-05,,,,,,
0,25.0,BASE,-443.7817321777344,2.802747026289243e-05,,,,,,
0,26.0,BASE,-448.74770304361977,2.463632104656053e-05,,,,,,
0,27.0,BASE,-452.5424458821615,2.1404630011522583e-05,,,,,,
0,28.0,BASE,-456.3907836914062,1.835232160765591e-05,,,,,,
0,29.0,BASE,-460.7911763509115,1.5498214331265897e-05,,,,,,
0,30.0,BASE,-462.21234334309895,1.2859904702798466e-05,,,,,,
0,31.0,BASE,-464.3289855957031,1.0453658778440104e-05,,,,,,
0,32.0,BASE,-466.4271240234375,8.294311864472434e-06,,,,,,
0,33.0,BASE,-468.59266153971356,6.395177052675791e-06,,,,,,
0,34.0,BASE,-470.19008178710936,4.767963140691304e-06,,,,,,
0,35.0,BASE,-470.3380147298177,3.4227024433898985e-06,,,,,,
0,36.0,BASE,-471.4234578450521,2.3676889403150093e-06,,,,,,
0,37.0,BASE,-472.24790649414064,1.6094271405406855e-06,,,,,,
0,38.0,BASE,-472.5626200358073,1.1525919802101657e-06,,,,,,
0,39.0,BASE,-472.81105143229166,1.0000000000000002e-06,,,,,,
1,0.0,FAST,2110.156021118164,5e-05,,,,,,
1,1.0,FAST,1208.9887313842773,0.0001,,,,,,
1,2.0,FAST,474.3164939880371,9.984740801978984e-05,,,,,,
1,3.0,FAST,309.53998374938965,9.939057285945931e-05,,,,,,
1,4.0,FAST,261.461443901062,9.863231105968498e-05,,,,,,
1,5.0,FAST,231.12642097473145,9.75772975566101e-05,,,,,,
1,6.0,FAST,204.49152088165283,9.623203685930868e-05,,,,,,
1,7.0,FAST,182.04784774780273,9.46048229473242e-05,,,,,,
1,8.0,FAST,164.01382446289062,9.270568813552755e-05,,,,,,
1,9.0,FAST,146.6712188720703,9.054634122155989e-05,,,,,,
