metric,value
experiment_name,HP-LoRA128
strategy,MoLE-Flow
final_average_img_auc,0.7827709761161632
final_average_pixel_auc,0.897472351555855
final_average_img_ap,0.8724487840870889
final_average_pixel_ap,0.18636728654667803
total_classes,4
total_tasks,4
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
leather_img_auc,1.0
leather_pixel_auc,0.9317417306457532
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.055132205900901406
grid_img_auc,0.9030910609857978
grid_pixel_auc,0.8908959821362604
grid_img_ap,0.9629553388118102
grid_pixel_ap,0.10786771144264765
transistor_img_auc,0.7895833333333333
transistor_pixel_auc,0.9319584691677055
transistor_img_ap,0.7763992253098497
transistor_pixel_ap,0.5636859535832023
screw_img_auc,0.43840951014552165
screw_pixel_auc,0.8352932242737011
screw_img_ap,0.7504405722266958
screw_pixel_ap,0.01878327525996079
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
oracle_mean_img_auc,0.7827709761161632
oracle_mean_pixel_auc,0.897472351555855
