task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,944.8151407877605,9.984740801978984e-05,,,,,,
0,1.0,BASE,760.1254638671875,9.939057285945931e-05,,,,,,
0,2.0,BASE,505.68284912109374,9.863231105968498e-05,,,,,,
0,3.0,BASE,290.0222534179687,9.75772975566101e-05,,,,,,
0,4.0,BASE,160.0043690999349,9.623203685930868e-05,,,,,,
0,5.0,BASE,67.02558186848958,9.46048229473242e-05,,,,,,
0,6.0,BASE,-5.9197333017985025,9.270568813552755e-05,,,,,,
0,7.0,BASE,-66.78621292114258,9.054634122155989e-05,,,,,,
0,8.0,BASE,-117.171240234375,8.814009529720152e-05,,,,,,
0,9.0,BASE,-158.22370198567708,8.550178566873408e-05,,,,,,
0,10.0,BASE,-191.2664347330729,8.264767839234409e-05,,,,,,
0,11.0,BASE,-218.14256896972657,7.959536998847741e-05,,,,,,
0,12.0,BASE,-241.67742614746095,7.636367895343945e-05,,,,,,
0,13.0,BASE,-262.6990051269531,7.297252973710755e-05,,,,,,
0,14.0,BASE,-280.5773213704427,6.944282990207194e-05,,,,,,
0,15.0,BASE,-297.61278076171874,6.57963412215599e-05,,,,,,
0,16.0,BASE,-311.95936686197916,6.205554551086731e-05,,,,,,
0,17.0,BASE,-325.530556233724,5.824350601949142e-05,,,,,,
0,18.0,BASE,-337.84234008789065,5.438372523852832e-05,,,,,,
0,19.0,BASE,-348.92921752929686,5.0499999999999994e-05,,,,,,
0,20.0,BASE,-359.823046875,4.6616274761471674e-05,,,,,,
0,21.0,BASE,-368.1411560058594,4.275649398050858e-05,,,,,,
0,22.0,BASE,-376.53272705078126,3.894445448913268e-05,,,,,,
0,23.0,BASE,-383.88812866210935,3.52036587784401e-05,,,,,,
0,24.0,BASE,-389.95628051757814,3.155717009792805e-05,,,,,,
0,25.0,BASE,-396.27393798828126,2.802747026289243e-05,,,,,,
0,26.0,BASE,-401.7275716145833,2.463632104656053e-05,,,,,,
0,27.0,BASE,-406.46509806315106,2.1404630011522583e-05,,,,,,
0,28.0,BASE,-410.7078125,1.835232160765591e-05,,,,,,
0,29.0,BASE,-413.0881774902344,1.5498214331265897e-05,,,,,,
0,30.0,BASE,-416.2883361816406,1.2859904702798466e-05,,,,,,
0,31.0,BASE,-419.5110107421875,1.0453658778440104e-05,,,,,,
0,32.0,BASE,-420.58888753255206,8.294311864472434e-06,,,,,,
0,33.0,BASE,-422.6249145507812,6.395177052675791e-06,,,,,,
0,34.0,BASE,-424.1516947428385,4.767963140691304e-06,,,,,,
0,35.0,BASE,-424.5690612792969,3.4227024433898985e-06,,,,,,
0,36.0,BASE,-425.5166829427083,2.3676889403150093e-06,,,,,,
0,37.0,BASE,-426.05092569986977,1.6094271405406855e-06,,,,,,
0,38.0,BASE,-426.56317545572915,1.1525919802101657e-06,,,,,,
0,39.0,BASE,-426.48175048828125,1.0000000000000002e-06,,,,,,
1,0.0,FAST,4648.774353027344,5e-05,,,,,,
1,1.0,FAST,4252.710647583008,0.0001,,,,,,
1,2.0,FAST,3633.186279296875,9.984740801978984e-05,,,,,,
1,3.0,FAST,3001.578887939453,9.939057285945931e-05,,,,,,
1,4.0,FAST,2403.504364013672,9.863231105968498e-05,,,,,,
1,5.0,FAST,1934.415916442871,9.75772975566101e-05,,,,,,
1,6.0,FAST,1573.5466918945312,9.623203685930868e-05,,,,,,
1,7.0,FAST,1300.5982513427734,9.46048229473242e-05,,,,,,
1,8.0,FAST,1099.0464210510254,9.270568813552755e-05,,,,,,
1,9.0,FAST,942.5266456604004,9.054634122155989e-05,,,,,,
1,10.0,FAST,824.5582733154297,8.814009529720152e-05,,,,,,
1,11.0,FAST,734.3938636779785,8.550178566873408e-05,,,,,,
1,12.0,FAST,662.6398277282715,8.264767839234409e-05,,,,,,
1,13.0,FAST,605.446891784668,7.959536998847741e-05,,,,,,
1,14.0,FAST,559.1434631347656,7.636367895343945e-05,,,,,,
1,15.0,FAST,521.0171413421631,7.297252973710755e-05,,,,,,
1,16.0,FAST,487.9652500152588,6.944282990207194e-05,,,,,,
1,17.0,FAST,460.81461334228516,6.57963412215599e-05,,,,,,
1,18.0,FAST,436.6576156616211,6.205554551086731e-05,,,,,,
1,19.0,FAST,416.4941921234131,5.824350601949142e-05,,,,,,
1,20.0,FAST,400.31520652770996,5.438372523852832e-05,,,,,,
1,21.0,FAST,385.5851306915283,5.0499999999999994e-05,,,,,,
1,22.0,FAST,374.3293514251709,4.6616274761471674e-05,,,,,,
1,23.0,FAST,363.7757053375244,4.275649398050858e-05,,,,,,
1,24.0,FAST,355.47951889038086,3.894445448913268e-05,,,,,,
1,25.0,FAST,347.9836940765381,3.52036587784401e-05,,,,,,
1,26.0,FAST,342.45960426330566,3.155717009792805e-05,,,,,,
1,27.0,FAST,337.369686126709,2.802747026289243e-05,,,,,,
1,28.0,FAST,332.83287239074707,2.463632104656053e-05,,,,,,
1,29.0,FAST,329.03836250305176,2.1404630011522583e-05,,,,,,
1,30.0,FAST,326.5900650024414,1.835232160765591e-05,,,,,,
1,31.0,FAST,323.67332649230957,1.5498214331265897e-05,,,,,,
1,32.0,FAST,321.4488887786865,1.2859904702798466e-05,,,,,,
1,33.0,FAST,320.3373031616211,1.0453658778440104e-05,,,,,,
1,34.0,FAST,318.2740058898926,8.294311864472434e-06,,,,,,
1,35.0,FAST,317.6356906890869,6.395177052675791e-06,,,,,,
1,36.0,FAST,315.3698844909668,4.767963140691304e-06,,,,,,
1,37.0,FAST,315.5947895050049,3.4227024433898985e-06,,,,,,
1,38.0,FAST,315.1048412322998,2.3676889403150093e-06,,,,,,
1,39.0,FAST,315.22561264038086,1.6094271405406855e-06,,,,,,
2,0.0,FAST,3035.947303185096,5e-05,,,,,,
2,1.0,FAST,2876.5091083233174,0.0001,,,,,,
2,2.0,FAST,2630.350060096154,9.984740801978984e-05,,,,,,
2,3.0,FAST,2357.897930438702,9.939057285945931e-05,,,,,,
2,4.0,FAST,2083.0580209585337,9.863231105968498e-05,,,,,,
2,5.0,FAST,1829.392061673678,9.75772975566101e-05,,,,,,
2,6.0,FAST,1612.5113994891826,9.623203685930868e-05,,,,,,
