metric,value
experiment_name,HP-Simple-TopK1
strategy,MoLE-Flow
final_average_img_auc,0.7204923029866632
final_average_pixel_auc,0.9080451186516592
final_average_img_ap,0.8051147194597907
final_average_pixel_ap,0.1558245697708743
total_classes,4
total_tasks,4
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
leather_img_auc,1.0
leather_pixel_auc,0.9688688501085725
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.14127131388310898
grid_img_auc,0.7393483709273183
grid_pixel_auc,0.8649929691366047
grid_img_ap,0.8467457199994961
grid_pixel_ap,0.08770987208791776
transistor_img_auc,0.7195833333333334
transistor_pixel_auc,0.8971869558401881
transistor_img_ap,0.6421971577732714
transistor_pixel_ap,0.38017015556100775
screw_img_auc,0.4230375076860012
screw_pixel_auc,0.9011316995212713
screw_img_ap,0.7315160000663954
screw_pixel_ap,0.01414693755146277
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
oracle_mean_img_auc,0.7204923029866632
oracle_mean_pixel_auc,0.9080451186516592
