metric,value
experiment_name,HP-Tail0.5
strategy,MoLE-Flow
final_average_img_auc,0.7840822588663193
final_average_pixel_auc,0.8956692132672078
final_average_img_ap,0.8733815984429146
final_average_pixel_ap,0.18973230773452873
total_classes,4
total_tasks,4
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
leather_img_auc,1.0
leather_pixel_auc,0.9377177237823979
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.06097467335702523
grid_img_auc,0.9147869674185464
grid_pixel_auc,0.891306725356435
grid_img_ap,0.9677731942474617
grid_pixel_ap,0.10894008645236955
transistor_img_auc,0.79625
transistor_pixel_auc,0.9332466952346585
transistor_img_ap,0.7857175291799015
transistor_pixel_ap,0.5698927555455477
screw_img_auc,0.42529206804673086
screw_pixel_auc,0.8204057086953401
screw_img_ap,0.7400356703442948
screw_pixel_ap,0.019121715583172487
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
oracle_mean_img_auc,0.7840822588663193
oracle_mean_pixel_auc,0.8956692132672078
