task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,908.7469319661458,9.984740801978984e-05,,,,,,
0,1.0,BASE,580.2849772135417,9.939057285945931e-05,,,,,,
0,2.0,BASE,250.00857442220052,9.863231105968498e-05,,,,,,
0,3.0,BASE,97.39670969645182,9.75772975566101e-05,,,,,,
0,4.0,BASE,-11.483938725789388,9.623203685930868e-05,,,,,,
0,5.0,BASE,-90.09657338460286,9.46048229473242e-05,,,,,,
0,6.0,BASE,-144.22727915445964,9.270568813552755e-05,,,,,,
0,7.0,BASE,-191.2942118326823,9.054634122155989e-05,,,,,,
0,8.0,BASE,-229.05681457519532,8.814009529720152e-05,,,,,,
0,9.0,BASE,-260.14954935709636,8.550178566873408e-05,,,,,,
0,10.0,BASE,-286.32030232747394,8.264767839234409e-05,,,,,,
0,11.0,BASE,-308.30796915690104,7.959536998847741e-05,,,,,,
0,12.0,BASE,-327.65997111002605,7.636367895343945e-05,,,,,,
0,13.0,BASE,-343.48707478841146,7.297252973710755e-05,,,,,,
0,14.0,BASE,-356.69293212890625,6.944282990207194e-05,,,,,,
0,15.0,BASE,-368.0659912109375,6.57963412215599e-05,,,,,,
0,16.0,BASE,-378.37596232096354,6.205554551086731e-05,,,,,,
0,17.0,BASE,-388.15195719401044,5.824350601949142e-05,,,,,,
0,18.0,BASE,-396.74400431315104,5.438372523852832e-05,,,,,,
0,19.0,BASE,-405.99432983398435,5.0499999999999994e-05,,,,,,
0,20.0,BASE,-414.91334635416666,4.6616274761471674e-05,,,,,,
0,21.0,BASE,-420.3126627604167,4.275649398050858e-05,,,,,,
0,22.0,BASE,-426.90008544921875,3.894445448913268e-05,,,,,,
0,23.0,BASE,-432.2900390625,3.52036587784401e-05,,,,,,
0,24.0,BASE,-437.77309366861977,3.155717009792805e-05,,,,,,
0,25.0,BASE,-443.02703857421875,2.802747026289243e-05,,,,,,
0,26.0,BASE,-447.962744140625,2.463632104656053e-05,,,,,,
0,27.0,BASE,-451.701328531901,2.1404630011522583e-05,,,,,,
0,28.0,BASE,-455.60248413085935,1.835232160765591e-05,,,,,,
0,29.0,BASE,-460.01511433919273,1.5498214331265897e-05,,,,,,
0,30.0,BASE,-461.45631306966146,1.2859904702798466e-05,,,,,,
0,31.0,BASE,-463.5805989583333,1.0453658778440104e-05,,,,,,
0,32.0,BASE,-465.7002665201823,8.294311864472434e-06,,,,,,
0,33.0,BASE,-467.87209269205727,6.395177052675791e-06,,,,,,
0,34.0,BASE,-469.4688252766927,4.767963140691304e-06,,,,,,
0,35.0,BASE,-469.6288594563802,3.4227024433898985e-06,,,,,,
0,36.0,BASE,-470.71630859375,2.3676889403150093e-06,,,,,,
0,37.0,BASE,-471.5414204915365,1.6094271405406855e-06,,,,,,
0,38.0,BASE,-471.8585164388021,1.1525919802101657e-06,,,,,,
0,39.0,BASE,-472.1088094075521,1.0000000000000002e-06,,,,,,
1,0.0,FAST,2097.224075317383,5e-05,,,,,,
1,1.0,FAST,1203.098331451416,0.0001,,,,,,
1,2.0,FAST,473.6493892669678,9.984740801978984e-05,,,,,,
1,3.0,FAST,309.7390327453613,9.939057285945931e-05,,,,,,
1,4.0,FAST,261.7409610748291,9.863231105968498e-05,,,,,,
1,5.0,FAST,230.23198127746582,9.75772975566101e-05,,,,,,
1,6.0,FAST,200.36821365356445,9.623203685930868e-05,,,,,,
1,7.0,FAST,172.1784543991089,9.46048229473242e-05,,,,,,
1,8.0,FAST,147.74742555618286,9.270568813552755e-05,,,,,,
1,9.0,FAST,125.67848539352417,9.054634122155989e-05,,,,,,
1,10.0,FAST,105.73358154296875,8.814009529720152e-05,,,,,,
1,11.0,FAST,91.35204362869263,8.550178566873408e-05,,,,,,
1,12.0,FAST,76.43147468566895,8.264767839234409e-05,,,,,,
1,13.0,FAST,64.542165517807,7.959536998847741e-05,,,,,,
1,14.0,FAST,55.620994091033936,7.636367895343945e-05,,,,,,
1,15.0,FAST,47.59468960762024,7.297252973710755e-05,,,,,,
1,16.0,FAST,39.61419439315796,6.944282990207194e-05,,,,,,
1,17.0,FAST,30.944216132164,6.57963412215599e-05,,,,,,
1,18.0,FAST,23.83891522884369,6.205554551086731e-05,,,,,,
1,19.0,FAST,15.810468316078186,5.824350601949142e-05,,,,,,
1,20.0,FAST,10.301027417182922,5.438372523852832e-05,,,,,,
1,21.0,FAST,4.836139500141144,5.0499999999999994e-05,,,,,,
1,22.0,FAST,0.7656106948852539,4.6616274761471674e-05,,,,,,
1,23.0,FAST,-3.985433280467987,4.275649398050858e-05,,,,,,
1,24.0,FAST,-7.989806294441223,3.894445448913268e-05,,,,,,
1,25.0,FAST,-10.856904566287994,3.52036587784401e-05,,,,,,
1,26.0,FAST,-14.630466341972351,3.155717009792805e-05,,,,,,
1,27.0,FAST,-17.406858444213867,2.802747026289243e-05,,,,,,
1,28.0,FAST,-19.87582278251648,2.463632104656053e-05,,,,,,
1,29.0,FAST,-23.716840744018555,2.1404630011522583e-05,,,,,,
1,30.0,FAST,-24.436760425567627,1.835232160765591e-05,,,,,,
1,31.0,FAST,-26.67230522632599,1.5498214331265897e-05,,,,,,
1,32.0,FAST,-29.721196174621582,1.2859904702798466e-05,,,,,,
1,33.0,FAST,-30.12306296825409,1.0453658778440104e-05,,,,,,
1,34.0,FAST,-31.116671085357666,8.294311864472434e-06,,,,,,
1,35.0,FAST,-32.386022210121155,6.395177052675791e-06,,,,,,
1,36.0,FAST,-34.32771444320679,4.767963140691304e-06,,,,,,
1,37.0,FAST,-33.916300892829895,3.4227024433898985e-06,,,,,,
1,38.0,FAST,-34.75739526748657,2.3676889403150093e-06,,,,,,
1,39.0,FAST,-35.29182720184326,1.6094271405406855e-06,,,,,,
2,0.0,FAST,1696.3076171875,5e-05,,,,,,
2,1.0,FAST,1230.6741379957932,0.0001,,,,,,
2,2.0,FAST,651.6403245192307,9.984740801978984e-05,,,,,,
2,3.0,FAST,437.72681837815503,9.939057285945931e-05,,,,,,
2,4.0,FAST,354.08611356295074,9.863231105968498e-05,,,,,,
2,5.0,FAST,319.1429678109976,9.75772975566101e-05,,,,,,
2,6.0,FAST,293.18741314227765,9.623203685930868e-05,,,,,,
2,7.0,FAST,270.92962881234973,9.46048229473242e-05,,,,,,
2,8.0,FAST,252.49425565279446,9.270568813552755e-05,,,,,,
