metric,value
experiment_name,V5-Final-10epochs
strategy,MoLE-Flow
final_average_img_auc,0.8021426043138693
final_average_pixel_auc,0.9110318146249702
final_average_img_ap,0.8840679706141196
final_average_pixel_ap,0.19349334003030058
total_classes,4
total_tasks,4
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
leather_img_auc,1.0
leather_pixel_auc,0.9272884417096259
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.053040805201223826
grid_img_auc,0.9398496240601503
grid_pixel_auc,0.9051177771896097
grid_img_ap,0.9786424376111373
grid_pixel_ap,0.1074924884999194
transistor_img_auc,0.81125
transistor_pixel_auc,0.9364691501018089
transistor_img_ap,0.8064412925857659
transistor_pixel_ap,0.5844780026187919
screw_img_auc,0.4574707931953269
screw_pixel_auc,0.8752518894988365
screw_img_ap,0.7511881522595747
screw_pixel_ap,0.02896206380126715
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
oracle_mean_img_auc,0.8021426043138693
oracle_mean_pixel_auc,0.9110318146249702
