class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9038475684850462,False,1.0
cable,1,0.9220389805097451,0.9131968841603437,False,1.0
capsule,2,0.7690466693258875,0.9240760578636983,False,1.0
carpet,3,0.971107544141252,0.9494727259190477,False,1.0
grid,4,0.9373433583959899,0.9064569098208212,False,1.0
leather,5,1.0,0.9488174336638663,True,1.0
Average,,0.9332560920621457,0.924311263318804,,1.0
Task_0_Average,0,1.0,0.9038475684850462,,1.0
Task_1_Average,1,0.9220389805097451,0.9131968841603437,,1.0
Task_2_Average,2,0.7690466693258875,0.9240760578636983,,1.0
Task_3_Average,3,0.971107544141252,0.9494727259190477,,1.0
Task_4_Average,4,0.9373433583959899,0.9064569098208212,,1.0
Task_5_Average,5,1.0,0.9488174336638663,,1.0
