task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,899.480709499783,9.99321619703514e-05,,,,,,
0,1.0,BASE,592.8421800401476,9.972883382072952e-05,,,,,,
0,2.0,BASE,405.88884989420575,9.939057285945931e-05,,,,,,
0,3.0,BASE,305.7803955078125,9.891830623632337e-05,,,,,,
0,4.0,BASE,234.3529510498047,9.831332840130886e-05,,,,,,
0,5.0,BASE,178.38003455268012,9.75772975566101e-05,,,,,,
0,6.0,BASE,131.83236609564887,9.671223111161148e-05,,,,,,
0,7.0,BASE,94.07723193698459,9.572050015330873e-05,,,,,,
0,8.0,BASE,60.65053357018365,9.46048229473242e-05,,,,,,
0,9.0,BASE,31.359904501173233,9.336825748732971e-05,,,,,,
0,10.0,BASE,5.817546526590983,9.201419311329847e-05,,,,,,
0,11.0,BASE,-17.020206875271267,9.054634122155987e-05,,,,,,
0,12.0,BASE,-36.96168772379557,8.896872509212005e-05,,,,,,
0,13.0,BASE,-55.977622985839844,8.7285668861131e-05,,,,,,
0,14.0,BASE,-71.88394334581163,8.550178566873408e-05,,,,,,
0,15.0,BASE,-86.19353527492947,8.362196501476347e-05,,,,,,
0,16.0,BASE,-98.9041731092665,8.165135935696695e-05,,,,,,
0,17.0,BASE,-111.16205469767253,7.959536998847741e-05,,,,,,
0,18.0,BASE,-122.69051106770833,7.745963223324383e-05,,,,,,
0,19.0,BASE,-134.24429066975912,7.524999999999999e-05,,,,,,
0,20.0,BASE,-143.87017737494574,7.297252973710755e-05,,,,,,
0,21.0,BASE,-154.07707977294922,7.06334638322521e-05,,,,,,
0,22.0,BASE,-163.24475945366754,6.823921350249236e-05,,,,,,
0,23.0,BASE,-171.67091963026257,6.579634122155988e-05,,,,,,
0,24.0,BASE,-181.35870361328125,6.331154273257476e-05,,,,,,
0,25.0,BASE,-188.92356194390192,6.079162869547906e-05,,,,,,
0,26.0,BASE,-196.42640770806207,5.824350601949141e-05,,,,,,
0,27.0,BASE,-203.80491807725696,5.567415893174883e-05,,,,,,
0,28.0,BASE,-210.51562076144748,5.3090629834025695e-05,,,,,,
0,29.0,BASE,-216.42763010660806,5.0499999999999994e-05,,,,,,
0,30.0,BASE,-223.1214853922526,4.7909370165974273e-05,,,,,,
0,31.0,BASE,-228.79300859239368,4.532584106825115e-05,,,,,,
0,32.0,BASE,-233.59553697374133,4.275649398050856e-05,,,,,,
0,33.0,BASE,-238.6181394788954,4.02083713045209e-05,,,,,,
0,34.0,BASE,-243.3708758884006,3.768845726742522e-05,,,,,,
0,35.0,BASE,-247.82359822591147,3.52036587784401e-05,,,,,,
0,36.0,BASE,-251.86737399631076,3.276078649750763e-05,,,,,,
0,37.0,BASE,-255.684449089898,3.0366536167747892e-05,,,,,,
0,38.0,BASE,-259.0987565782335,2.802747026289243e-05,,,,,,
0,39.0,BASE,-262.4360165066189,2.5750000000000006e-05,,,,,,
0,40.0,BASE,-265.42198605007593,2.354036776675617e-05,,,,,,
0,41.0,BASE,-267.9960539076063,2.1404630011522583e-05,,,,,,
0,42.0,BASE,-270.8815205891927,1.9348640643033054e-05,,,,,,
0,43.0,BASE,-273.09765879313153,1.7378034985236535e-05,,,,,,
0,44.0,BASE,-275.333612230089,1.54982143312659e-05,,,,,,
0,45.0,BASE,-277.0986141628689,1.3714331138868995e-05,,,,,,
0,46.0,BASE,-279.0203552246094,1.203127490787994e-05,,,,,,
0,47.0,BASE,-280.71335856119794,1.0453658778440105e-05,,,,,,
0,48.0,BASE,-282.3263668484158,8.985806886701514e-06,,,,,,
0,49.0,BASE,-283.75413513183594,7.631742512670283e-06,,,,,,
0,50.0,BASE,-284.7837320963542,6.395177052675793e-06,,,,,,
0,51.0,BASE,-285.99784511990015,5.2794998466912506e-06,,,,,,
0,52.0,BASE,-286.33643425835504,4.2877688883885125e-06,,,,,,
0,53.0,BASE,-287.04139031304254,3.4227024433898994e-06,,,,,,
