metric,value
experiment_name,V5-MPDD-60epochs
strategy,MoLE-Flow
final_average_img_auc,0.8198907474443532
final_average_pixel_auc,0.9091225226606013
final_average_img_ap,0.8729846993767545
final_average_pixel_ap,0.18292610093547346
total_classes,6
total_tasks,6
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bracket_black_img_auc,0.6316489361702128
bracket_black_pixel_auc,0.9017751042126501
bracket_black_img_ap,0.7401300072594733
bracket_black_pixel_ap,0.010494750714745833
bracket_brown_img_auc,0.823529411764706
bracket_brown_pixel_auc,0.9421954806849954
bracket_brown_img_ap,0.8678281068505683
bracket_brown_pixel_ap,0.05811692138252464
bracket_white_img_auc,0.79
bracket_white_pixel_auc,0.8884419772804683
bracket_white_img_ap,0.8436903627531062
bracket_white_pixel_ap,0.001448884241884532
connector_img_auc,0.9500000000000001
connector_pixel_auc,0.8633820768735047
connector_img_ap,0.9012679314149902
connector_pixel_ap,0.023812468100442
metal_plate_img_auc,0.9501625135427952
metal_plate_pixel_auc,0.9623096450216652
metal_plate_img_ap,0.9818870064757188
metal_plate_pixel_ap,0.7739990762524288
tubes_img_auc,0.7740036231884058
tubes_pixel_auc,0.8966308518903243
tubes_img_ap,0.9031047815066703
tubes_pixel_ap,0.22968450492081485
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
oracle_mean_img_auc,0.8198907474443532
oracle_mean_pixel_auc,0.9091225226606013
