task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,1247.9503549429087,9.99321619703514e-05,,,,,,
0,1.0,BASE,999.0057889498197,9.972883382072952e-05,,,,,,
0,2.0,BASE,830.0418090820312,9.939057285945931e-05,,,,,,
0,3.0,BASE,697.0021409254807,9.891830623632337e-05,,,,,,
0,4.0,BASE,578.0270714393029,9.831332840130886e-05,,,,,,
0,5.0,BASE,475.4128183218149,9.75772975566101e-05,,,,,,
0,6.0,BASE,385.92452533428485,9.671223111161148e-05,,,,,,
0,7.0,BASE,307.45047701322113,9.572050015330873e-05,,,,,,
0,8.0,BASE,239.56063138521634,9.46048229473242e-05,,,,,,
0,9.0,BASE,183.5835418701172,9.336825748732971e-05,,,,,,
0,10.0,BASE,137.64004692664514,9.201419311329847e-05,,,,,,
0,11.0,BASE,98.84891510009766,9.054634122155987e-05,,,,,,
0,12.0,BASE,64.50128437922551,8.896872509212005e-05,,,,,,
0,13.0,BASE,39.71630096435547,8.7285668861131e-05,,,,,,
0,14.0,BASE,22.496766603910007,8.550178566873408e-05,,,,,,
0,15.0,BASE,3.409397712120643,8.362196501476347e-05,,,,,,
0,16.0,BASE,-11.911258697509766,8.165135935696695e-05,,,,,,
0,17.0,BASE,-27.562072460468,7.959536998847741e-05,,,,,,
0,18.0,BASE,-42.71029633742113,7.745963223324383e-05,,,,,,
0,19.0,BASE,-58.21179874126728,7.524999999999999e-05,,,,,,
0,20.0,BASE,-73.89851966271034,7.297252973710755e-05,,,,,,
0,21.0,BASE,-89.13638657789964,7.06334638322521e-05,,,,,,
0,22.0,BASE,-104.3804708627554,6.823921350249236e-05,,,,,,
0,23.0,BASE,-118.90218353271484,6.579634122155988e-05,,,,,,
0,24.0,BASE,-133.37675300011267,6.331154273257476e-05,,,,,,
0,25.0,BASE,-147.45426354041467,6.079162869547906e-05,,,,,,
0,26.0,BASE,-160.58529663085938,5.824350601949141e-05,,,,,,
0,27.0,BASE,-174.5397010216346,5.567415893174883e-05,,,,,,
0,28.0,BASE,-186.6603522667518,5.3090629834025695e-05,,,,,,
0,29.0,BASE,-199.86084453876202,5.0499999999999994e-05,,,,,,
0,30.0,BASE,-211.31165724534256,4.7909370165974273e-05,,,,,,
0,31.0,BASE,-222.38233243502103,4.532584106825115e-05,,,,,,
0,32.0,BASE,-230.3333751971905,4.275649398050856e-05,,,,,,
0,33.0,BASE,-237.34579115647537,4.02083713045209e-05,,,,,,
0,34.0,BASE,-244.1593780517578,3.768845726742522e-05,,,,,,
0,35.0,BASE,-250.41367985652045,3.52036587784401e-05,,,,,,
0,36.0,BASE,-255.7173344538762,3.276078649750763e-05,,,,,,
0,37.0,BASE,-260.8427006648137,3.0366536167747892e-05,,,,,,
0,38.0,BASE,-264.664548433744,2.802747026289243e-05,,,,,,
0,39.0,BASE,-269.95684579702527,2.5750000000000006e-05,,,,,,
0,40.0,BASE,-274.0852262056791,2.354036776675617e-05,,,,,,
0,41.0,BASE,-278.2809624305138,2.1404630011522583e-05,,,,,,
0,42.0,BASE,-282.72177358774036,1.9348640643033054e-05,,,,,,
0,43.0,BASE,-287.2715360201322,1.7378034985236535e-05,,,,,,
0,44.0,BASE,-292.31008676382214,1.54982143312659e-05,,,,,,
0,45.0,BASE,-296.63037109375,1.3714331138868995e-05,,,,,,
0,46.0,BASE,-300.0934753417969,1.203127490787994e-05,,,,,,
0,47.0,BASE,-303.8778381347656,1.0453658778440105e-05,,,,,,
0,48.0,BASE,-306.4721491887019,8.985806886701514e-06,,,,,,
0,49.0,BASE,-308.778076171875,7.631742512670283e-06,,,,,,
0,50.0,BASE,-312.3079599233774,6.395177052675793e-06,,,,,,
0,51.0,BASE,-313.6735112116887,5.2794998466912506e-06,,,,,,
0,52.0,BASE,-315.86568744365985,4.2877688883885125e-06,,,,,,
