Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,0.00,0.7183,0.1253,0.8740,0.0312
1,cable,0.00,0.5682,0.5402,0.7291,0.2147
2,capsule,2.27,0.6262,0.1101,0.8924,0.0049
3,carpet,85.47,0.9827,0.8642,0.9948,0.0684
4,grid,100.00,0.9699,0.9589,0.9901,0.1549
5,hazelnut,0.00,0.3789,0.0720,0.6161,0.0111
6,leather,60.48,1.0000,0.6622,1.0000,0.0089
7,metal_nut,42.61,0.7732,0.6432,0.9128,0.1403
8,pill,64.67,0.8920,0.7170,0.9692,0.0522
9,screw,7.50,0.4573,0.1282,0.7302,0.0014
10,tile,62.39,0.9996,0.7641,0.9999,0.1405
11,toothbrush,0.00,0.5889,0.2963,0.8487,0.0102
12,transistor,3.00,0.5100,0.3788,0.4331,0.0373
13,wood,64.56,0.9868,0.7564,0.9961,0.0861
14,zipper,94.04,0.9934,0.9136,0.9982,0.1009
Mean,Overall,39.13,0.7630*,0.5287*,0.8657*,0.0709*
