class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
candle,0,0.8932,0.8915140919789056,False,1.0
capsules,1,0.8691666666666666,0.9645389546660786,False,1.0
cashew,2,0.9726,0.9808737593600817,False,1.0
chewinggum,3,0.9153999999999999,0.9349477439834595,False,1.0
fryum,4,0.9262,0.9388363627778477,False,1.0
macaroni1,5,0.8419000000000001,0.9179202755515347,False,1.0
macaroni2,6,0.649,0.8934950747337043,False,1.0
pcb1,7,0.9234,0.9822217339335605,False,1.0
pcb2,8,0.8767,0.9593681130052699,False,1.0
pcb3,9,0.8120792079207921,0.9536832926240377,False,1.0
pcb4,10,0.9492079207920793,0.9419506715177802,False,1.0
pipe_fryum,11,0.9326,0.9683121377577034,True,0.9866666666666667
Average,,0.8801211496149616,0.9439718509908305,,0.9988888888888888
Task_0_Average,0,0.8932,0.8915140919789056,,1.0
Task_1_Average,1,0.8691666666666666,0.9645389546660786,,1.0
Task_2_Average,2,0.9726,0.9808737593600817,,1.0
Task_3_Average,3,0.9153999999999999,0.9349477439834595,,1.0
Task_4_Average,4,0.9262,0.9388363627778477,,1.0
Task_5_Average,5,0.8419000000000001,0.9179202755515347,,1.0
Task_6_Average,6,0.649,0.8934950747337043,,1.0
Task_7_Average,7,0.9234,0.9822217339335605,,1.0
Task_8_Average,8,0.8767,0.9593681130052699,,1.0
Task_9_Average,9,0.8120792079207921,0.9536832926240377,,1.0
Task_10_Average,10,0.9492079207920793,0.9419506715177802,,1.0
Task_11_Average,11,0.9326,0.9683121377577034,,0.9866666666666667
