metric,value
experiment_name,Version5-Final-50epochs
strategy,MoLE-Flow
final_average_img_auc,0.7918079448831309
final_average_pixel_auc,0.9132247222350741
final_average_img_ap,0.8788974386575837
final_average_pixel_ap,0.23434983583164504
total_classes,4
total_tasks,4
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
leather_img_auc,1.0
leather_pixel_auc,0.9690206123816847
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.17590576072467018
grid_img_auc,0.9381787802840432
grid_pixel_auc,0.9035166796787438
grid_img_ap,0.9785448744944476
grid_pixel_ap,0.14091609483863174
transistor_img_auc,0.8170833333333334
transistor_pixel_auc,0.938660085746326
transistor_img_ap,0.8052805183776883
transistor_pixel_ap,0.5990862771695084
screw_img_auc,0.41196966591514655
screw_pixel_auc,0.8417015111335416
screw_img_ap,0.731764361758199
screw_pixel_ap,0.021491210593769895
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
oracle_mean_img_auc,0.7918079448831309
oracle_mean_pixel_auc,0.9132247222350741
