Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9481,1.0000,0.4579
1,cable,100.00,0.9159,0.9026,0.9452,0.4131
2,capsule,100.00,0.7288,0.9205,0.9277,0.1180
3,carpet,100.00,0.9723,0.9588,0.9922,0.4120
4,grid,100.00,0.9098,0.8940,0.9678,0.1442
5,hazelnut,100.00,0.9561,0.9628,0.9709,0.3236
6,leather,100.00,1.0000,0.9765,1.0000,0.2223
7,metal_nut,100.00,0.9707,0.9732,0.9936,0.8214
8,pill,98.80,0.8612,0.9472,0.9706,0.3730
9,screw,100.00,0.3831,0.8168,0.7224,0.0194
10,tile,100.00,1.0000,0.8766,1.0000,0.3653
11,toothbrush,97.62,0.8472,0.9412,0.9428,0.1400
12,transistor,100.00,0.7908,0.9454,0.7868,0.6589
13,wood,100.00,0.9526,0.8869,0.9801,0.4549
14,zipper,100.00,0.9280,0.8632,0.9616,0.1895
Mean,Overall,99.76,0.8811*,0.9209*,0.9441*,0.3409*
