metric,value
experiment_name,Version5-Final-img384
strategy,MoLE-Flow
final_average_img_auc,0.8528756566811576
final_average_pixel_auc,0.9596288551736009
final_average_img_ap,0.9132130962306464
final_average_pixel_ap,0.30520432002956294
total_classes,4
total_tasks,4
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
leather_img_auc,1.0
leather_pixel_auc,0.9629170952068036
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.11701340115040491
grid_img_auc,0.9874686716791979
grid_pixel_auc,0.9776951167571692
grid_img_ap,0.9963450292397664
grid_pixel_ap,0.3447754836780542
transistor_img_auc,0.8716666666666667
transistor_pixel_auc,0.9494263668926582
transistor_img_ap,0.8500104379589406
transistor_pixel_ap,0.628488325969022
screw_img_auc,0.5523672883787661
screw_pixel_auc,0.9484768418377723
screw_img_ap,0.8064969177238785
screw_pixel_ap,0.13054006932077056
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
oracle_mean_img_auc,0.8528756566811576
oracle_mean_pixel_auc,0.9596288551736009
