metric,value
experiment_name,Version5-LearnedAggregation
strategy,MoLE-Flow
final_average_img_auc,0.8817004316346422
final_average_pixel_auc,0.9356910597826747
final_average_img_ap,0.897759561064483
final_average_pixel_ap,0.28682604733961115
total_classes,3
total_tasks,3
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
leather_img_auc,1.0
leather_pixel_auc,0.9720243167306033
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.18987853640853375
grid_img_auc,0.8738512949039264
grid_pixel_auc,0.9080416143491096
grid_img_ap,0.9538050851642466
grid_pixel_ap,0.14929778393790205
transistor_img_auc,0.77125
transistor_pixel_auc,0.9270072482683116
transistor_img_ap,0.7394735980292022
transistor_pixel_ap,0.5213018216723977
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
oracle_mean_img_auc,0.8817004316346422
oracle_mean_pixel_auc,0.9356910597826747
