metric,value
experiment_name,Version5.1-DiscriminativeTraining_screw
strategy,MoLE-Flow
final_average_img_auc,0.4722279155564665
final_average_pixel_auc,0.875489976448245
final_average_img_ap,0.7538365326197661
final_average_pixel_ap,0.02678759462631017
total_classes,1
total_tasks,1
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
screw_img_auc,0.4722279155564665
screw_pixel_auc,0.875489976448245
screw_img_ap,0.7538365326197661
screw_pixel_ap,0.02678759462631017
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
oracle_mean_img_auc,0.4722279155564665
oracle_mean_pixel_auc,0.875489976448245
