metric,value
experiment_name,V5.1b-SpatialCluster
strategy,MoLE-Flow
final_average_img_auc,0.7634553212598688
final_average_pixel_auc,0.9143783231156346
final_average_img_ap,0.8482833223191732
final_average_pixel_ap,0.2204931336818044
total_classes,4
total_tasks,4
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
leather_img_auc,1.0
leather_pixel_auc,0.9720243167306033
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.18987853640853375
grid_img_auc,0.8529657477025898
grid_pixel_auc,0.908163496839252
grid_img_ap,0.946780758483869
grid_pixel_ap,0.14941793501949413
transistor_img_auc,0.7591666666666665
transistor_pixel_auc,0.9270139698261941
transistor_img_ap,0.7118776405925752
transistor_pixel_ap,0.5213580388312576
screw_img_auc,0.4416888706702193
screw_pixel_auc,0.8503115090664888
screw_img_ap,0.7344748902002485
screw_pixel_ap,0.021318024467932052
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
oracle_mean_img_auc,0.7634553212598688
oracle_mean_pixel_auc,0.9143783231156346
