Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9469,1.0000,0.4630
1,cable,100.00,0.9162,0.9042,0.9496,0.4121
2,capsule,100.00,0.7276,0.9203,0.9270,0.1189
3,carpet,100.00,0.9755,0.9643,0.9932,0.4769
4,grid,100.00,0.8989,0.8937,0.9611,0.1315
5,hazelnut,100.00,0.9625,0.9646,0.9768,0.3718
6,leather,100.00,1.0000,0.9699,1.0000,0.1832
7,metal_nut,100.00,0.9717,0.9654,0.9938,0.7412
8,pill,98.80,0.8568,0.9438,0.9689,0.3323
9,screw,100.00,0.3484,0.8168,0.6960,0.0161
10,tile,100.00,1.0000,0.8794,1.0000,0.3474
11,toothbrush,97.62,0.8417,0.9414,0.9418,0.1404
12,transistor,100.00,0.7967,0.9456,0.7943,0.6522
13,wood,100.00,0.9553,0.8811,0.9831,0.4315
14,zipper,100.00,0.9278,0.8629,0.9714,0.1769
Mean,Overall,99.76,0.8786*,0.9200*,0.9438*,0.3330*
