task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,900.0096516927083,9.984740801978984e-05,,,,,,
0,1.0,BASE,565.7191467285156,9.939057285945931e-05,,,,,,
0,2.0,BASE,230.19967905680338,9.863231105968498e-05,,,,,,
0,3.0,BASE,24.265654881795246,9.75772975566101e-05,,,,,,
0,4.0,BASE,-148.8891565958659,9.623203685930868e-05,,,,,,
0,5.0,BASE,-275.24253845214844,9.46048229473242e-05,,,,,,
0,6.0,BASE,-371.80360514322916,9.270568813552755e-05,,,,,,
0,7.0,BASE,-456.14125162760416,9.054634122155989e-05,,,,,,
0,8.0,BASE,-516.5817464192709,8.814009529720152e-05,,,,,,
0,9.0,BASE,-556.9365641276041,8.550178566873408e-05,,,,,,
0,10.0,BASE,-584.3971150716146,8.264767839234409e-05,,,,,,
0,11.0,BASE,-611.2178955078125,7.959536998847741e-05,,,,,,
0,12.0,BASE,-635.1911173502605,7.636367895343945e-05,,,,,,
0,13.0,BASE,-658.6060791015625,7.297252973710755e-05,,,,,,
0,14.0,BASE,-678.5951009114583,6.944282990207194e-05,,,,,,
0,15.0,BASE,-698.5149658203125,6.57963412215599e-05,,,,,,
0,16.0,BASE,-716.0167602539062,6.205554551086731e-05,,,,,,
0,17.0,BASE,-731.9922607421875,5.824350601949142e-05,,,,,,
0,18.0,BASE,-746.9720336914063,5.438372523852832e-05,,,,,,
0,19.0,BASE,-761.5872151692708,5.0499999999999994e-05,,,,,,
0,20.0,BASE,-774.5896891276042,4.6616274761471674e-05,,,,,,
0,21.0,BASE,-786.5646321614583,4.275649398050858e-05,,,,,,
0,22.0,BASE,-800.0184122721354,3.894445448913268e-05,,,,,,
0,23.0,BASE,-807.5707356770833,3.52036587784401e-05,,,,,,
0,24.0,BASE,-819.324149576823,3.155717009792805e-05,,,,,,
0,25.0,BASE,-826.4159871419271,2.802747026289243e-05,,,,,,
0,26.0,BASE,-836.7909057617187,2.463632104656053e-05,,,,,,
0,27.0,BASE,-845.4206420898438,2.1404630011522583e-05,,,,,,
0,28.0,BASE,-852.077880859375,1.835232160765591e-05,,,,,,
0,29.0,BASE,-858.3424682617188,1.5498214331265897e-05,,,,,,
0,30.0,BASE,-864.0717447916667,1.2859904702798466e-05,,,,,,
0,31.0,BASE,-868.607373046875,1.0453658778440104e-05,,,,,,
0,32.0,BASE,-873.3106201171875,8.294311864472434e-06,,,,,,
0,33.0,BASE,-876.952705891927,6.395177052675791e-06,,,,,,
0,34.0,BASE,-880.9092122395833,4.767963140691304e-06,,,,,,
0,35.0,BASE,-883.2101440429688,3.4227024433898985e-06,,,,,,
0,36.0,BASE,-884.846504720052,2.3676889403150093e-06,,,,,,
0,37.0,BASE,-886.8660563151042,1.6094271405406855e-06,,,,,,
0,38.0,BASE,-888.3707885742188,1.1525919802101657e-06,,,,,,
0,39.0,BASE,-889.4545735677083,1.0000000000000002e-06,,,,,,
1,0.0,FAST,619.8030204772949,5e-05,,,,,,
1,1.0,FAST,383.9295845031738,0.0001,,,,,,
1,2.0,FAST,100.38969874382019,9.984740801978984e-05,,,,,,
1,3.0,FAST,-27.077160596847534,9.939057285945931e-05,,,,,,
1,4.0,FAST,-125.3603835105896,9.863231105968498e-05,,,,,,
1,5.0,FAST,-188.72558498382568,9.75772975566101e-05,,,,,,
1,6.0,FAST,-227.6002082824707,9.623203685930868e-05,,,,,,
1,7.0,FAST,-257.96026039123535,9.46048229473242e-05,,,,,,
1,8.0,FAST,-281.9432601928711,9.270568813552755e-05,,,,,,
1,9.0,FAST,-300.92015075683594,9.054634122155989e-05,,,,,,
1,10.0,FAST,-315.78506660461426,8.814009529720152e-05,,,,,,
1,11.0,FAST,-331.5043411254883,8.550178566873408e-05,,,,,,
1,12.0,FAST,-347.46604347229004,8.264767839234409e-05,,,,,,
1,13.0,FAST,-359.9003143310547,7.959536998847741e-05,,,,,,
1,14.0,FAST,-375.5091667175293,7.636367895343945e-05,,,,,,
1,15.0,FAST,-385.5341987609863,7.297252973710755e-05,,,,,,
1,16.0,FAST,-395.7900581359863,6.944282990207194e-05,,,,,,
1,17.0,FAST,-404.43288230895996,6.57963412215599e-05,,,,,,
1,18.0,FAST,-413.41655921936035,6.205554551086731e-05,,,,,,
1,19.0,FAST,-421.6414318084717,5.824350601949142e-05,,,,,,
1,20.0,FAST,-428.8348159790039,5.438372523852832e-05,,,,,,
1,21.0,FAST,-434.29010009765625,5.0499999999999994e-05,,,,,,
1,22.0,FAST,-439.97168731689453,4.6616274761471674e-05,,,,,,
1,23.0,FAST,-445.01915550231934,4.275649398050858e-05,,,,,,
1,24.0,FAST,-450.1958427429199,3.894445448913268e-05,,,,,,
1,25.0,FAST,-453.33878898620605,3.52036587784401e-05,,,,,,
1,26.0,FAST,-457.08643531799316,3.155717009792805e-05,,,,,,
1,27.0,FAST,-461.2661724090576,2.802747026289243e-05,,,,,,
1,28.0,FAST,-464.1013832092285,2.463632104656053e-05,,,,,,
1,29.0,FAST,-465.7719192504883,2.1404630011522583e-05,,,,,,
1,30.0,FAST,-469.06538009643555,1.835232160765591e-05,,,,,,
1,31.0,FAST,-471.3108787536621,1.5498214331265897e-05,,,,,,
1,32.0,FAST,-472.6877956390381,1.2859904702798466e-05,,,,,,
1,33.0,FAST,-474.4049320220947,1.0453658778440104e-05,,,,,,
1,34.0,FAST,-475.0500717163086,8.294311864472434e-06,,,,,,
1,35.0,FAST,-476.41613578796387,6.395177052675791e-06,,,,,,
1,36.0,FAST,-477.4735279083252,4.767963140691304e-06,,,,,,
1,37.0,FAST,-478.2500820159912,3.4227024433898985e-06,,,,,,
1,38.0,FAST,-478.44904136657715,2.3676889403150093e-06,,,,,,
1,39.0,FAST,-479.38069915771484,1.6094271405406855e-06,,,,,,
2,0.0,FAST,648.9623413085938,5e-05,,,,,,
2,1.0,FAST,490.2632094163161,0.0001,,,,,,
2,2.0,FAST,233.68716313288763,9.984740801978984e-05,,,,,,
2,3.0,FAST,90.29672182523288,9.939057285945931e-05,,,,,,
2,4.0,FAST,-4.375019073486328,9.863231105968498e-05,,,,,,
2,5.0,FAST,-76.32537753765399,9.75772975566101e-05,,,,,,
2,6.0,FAST,-125.40000739464394,9.623203685930868e-05,,,,,,
2,7.0,FAST,-160.29917907714844,9.46048229473242e-05,,,,,,
2,8.0,FAST,-189.16874225323016,9.270568813552755e-05,,,,,,
2,9.0,FAST,-207.65233905498798,9.054634122155989e-05,,,,,,
2,10.0,FAST,-224.34095764160156,8.814009529720152e-05,,,,,,
2,11.0,FAST,-238.9086409348708,8.550178566873408e-05,,,,,,
2,12.0,FAST,-251.2349876990685,8.264767839234409e-05,,,,,,
2,13.0,FAST,-261.4507587139423,7.959536998847741e-05,,,,,,
2,14.0,FAST,-270.74477914663464,7.636367895343945e-05,,,,,,
2,15.0,FAST,-280.29423170823316,7.297252973710755e-05,,,,,,
2,16.0,FAST,-289.3190612792969,6.944282990207194e-05,,,,,,
2,17.0,FAST,-297.67062612680286,6.57963412215599e-05,,,,,,
2,18.0,FAST,-306.32747943584735,6.205554551086731e-05,,,,,,
2,19.0,FAST,-311.3277822641226,5.824350601949142e-05,,,,,,
2,20.0,FAST,-318.0620422363281,5.438372523852832e-05,,,,,,
2,21.0,FAST,-323.327876164363,5.0499999999999994e-05,,,,,,
2,22.0,FAST,-327.8292048527644,4.6616274761471674e-05,,,,,,
2,23.0,FAST,-333.4246614896334,4.275649398050858e-05,,,,,,
2,24.0,FAST,-336.5880197378305,3.894445448913268e-05,,,,,,
2,25.0,FAST,-340.62884286733777,3.52036587784401e-05,,,,,,
2,26.0,FAST,-342.904533973107,3.155717009792805e-05,,,,,,
2,27.0,FAST,-345.80267333984375,2.802747026289243e-05,,,,,,
