metric,value
experiment_name,Version5.7-DirD-ContentBasedPE
strategy,MoLE-Flow
final_average_img_auc,0.7545183959869785
final_average_pixel_auc,0.9167738339003484
final_average_img_ap,0.8518834811054323
final_average_pixel_ap,0.20530057707643715
total_classes,4
total_tasks,4
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
leather_img_auc,1.0
leather_pixel_auc,0.9808819325543081
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.2301908763140723
grid_img_auc,0.8487886382623225
grid_pixel_auc,0.8828023891496078
grid_img_ap,0.9404455076192062
grid_pixel_ap,0.12506182909082275
transistor_img_auc,0.7587499999999999
transistor_pixel_auc,0.9125807040550741
transistor_img_ap,0.7251821119743256
transistor_pixel_ap,0.442820043065267
screw_img_auc,0.4105349456855913
screw_pixel_auc,0.8908303098424037
screw_img_ap,0.7419063048281975
screw_pixel_ap,0.023129559835586462
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
oracle_mean_img_auc,0.7545183959869785
oracle_mean_pixel_auc,0.9167738339003484
