metric,value
experiment_name,Version5-Final-60epochs_all_classes_alphabet_order
strategy,MoLE-Flow
final_average_img_auc,0.8952920219550753
final_average_pixel_auc,0.9198509359235484
final_average_img_ap,0.9513871125356006
final_average_pixel_ap,0.30670595242661414
total_classes,15
total_tasks,15
final_routing_accuracy,0.9982608695652174
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,1.0
bottle_pixel_auc,0.9411815057621942
bottle_img_ap,0.9999999999999998
bottle_pixel_ap,0.40361891701694397
cable_img_auc,0.9349700149925038
cable_pixel_auc,0.9084222179335855
cable_img_ap,0.9600109639500505
cable_pixel_ap,0.38341804253910083
capsule_img_auc,0.7495013960909455
capsule_pixel_auc,0.925731882100312
capsule_img_ap,0.9343388393432381
capsule_pixel_ap,0.12568672012025414
carpet_img_auc,0.9759229534510433
carpet_pixel_auc,0.9572558285542697
carpet_img_ap,0.9932455514758616
carpet_pixel_ap,0.412933059237658
grid_img_auc,0.9314954051796156
grid_pixel_auc,0.9004474105236883
grid_img_ap,0.9752766879986807
grid_pixel_ap,0.12846273565759767
hazelnut_img_auc,0.9614285714285714
hazelnut_pixel_auc,0.9634161702643199
hazelnut_img_ap,0.9705290989234525
hazelnut_pixel_ap,0.318669400945994
leather_img_auc,1.0
leather_pixel_auc,0.9568139199950929
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.14019246083035988
metal_nut_img_auc,0.9804496578690127
metal_nut_pixel_auc,0.956889036743869
metal_nut_img_ap,0.9956545469897824
metal_nut_pixel_ap,0.6245242468517707
pill_img_auc,0.8717948717948718
pill_pixel_auc,0.9439343540495363
pill_img_ap,0.9724599190567069
pill_pixel_ap,0.33301821886391203
screw_img_auc,0.41217462594794013
screw_pixel_auc,0.8357360401279889
screw_img_ap,0.7364419291427616
screw_pixel_ap,0.0210219818454616
tile_img_auc,1.0
tile_pixel_auc,0.8646851243324546
tile_img_ap,0.9999999999999998
tile_pixel_ap,0.3002925165438002
toothbrush_img_auc,0.8972222222222221
toothbrush_pixel_auc,0.9392915279744861
toothbrush_img_ap,0.9611690503343729
toothbrush_pixel_ap,0.13703105538908777
transistor_img_auc,0.8154166666666667
transistor_pixel_auc,0.9466563752194429
transistor_img_ap,0.8114352304013859
transistor_pixel_ap,0.6619069378630009
wood_img_auc,0.9675438596491228
wood_pixel_auc,0.8875140445064931
wood_img_ap,0.989235842814758
wood_pixel_ap,0.4454511074020227
zipper_img_auc,0.9314600840336135
zipper_pixel_auc,0.8697886007654911
zipper_img_ap,0.9710090276029562
zipper_pixel_ap,0.16436188529224816
---additional_metrics---,
overall_routing_accuracy,0.9982608695652174
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,0.9880239520958084
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,0.9761904761904762
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.8952920219550753
oracle_mean_pixel_auc,0.9201068629874196
