metric,value
experiment_name,MVTec-WRN50-GlobalContext
strategy,MoLE-Flow
final_average_img_auc,0.979709475696502
final_average_pixel_auc,0.9737181260116735
final_average_img_ap,0.9928809944426792
final_average_pixel_ap,0.4711007773949447
total_classes,15
total_tasks,15
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,1.0
bottle_pixel_auc,0.9661094028478148
bottle_img_ap,0.9999999999999998
bottle_pixel_ap,0.4697479598581505
cable_img_auc,0.9917541229385307
cable_pixel_auc,0.9749060275066435
cable_img_ap,0.9953868916174463
cable_pixel_ap,0.6565081574702276
capsule_img_auc,0.9473474272038293
capsule_pixel_auc,0.9850202844977817
capsule_img_ap,0.987449736352938
capsule_pixel_ap,0.33735941360392574
carpet_img_auc,0.982744783306581
carpet_pixel_auc,0.9810175184554601
carpet_img_ap,0.995127796169182
carpet_pixel_ap,0.38684568099970607
grid_img_auc,0.9899749373433584
grid_pixel_auc,0.9755315833199353
grid_img_ap,0.9967155948422677
grid_pixel_ap,0.2119806920801403
hazelnut_img_auc,1.0
hazelnut_pixel_auc,0.9850286475593473
hazelnut_img_ap,0.9999999999999998
hazelnut_pixel_ap,0.5129894704290048
leather_img_auc,1.0
leather_pixel_auc,0.9816999241905748
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.23257110664407535
metal_nut_img_auc,1.0
metal_nut_pixel_auc,0.9835783649313998
metal_nut_img_ap,1.0
metal_nut_pixel_ap,0.8594695409903803
pill_img_auc,0.9833606110201855
pill_pixel_auc,0.9885614926251883
pill_img_ap,0.9971201885697063
pill_pixel_ap,0.8123406580894058
screw_img_auc,0.8969051035048166
screw_pixel_auc,0.9830431499662625
screw_img_ap,0.9601288336320182
screw_pixel_ap,0.20575198633447062
tile_img_auc,1.0
tile_pixel_auc,0.9572950263816185
tile_img_ap,0.9999999999999998
tile_pixel_ap,0.6639380818981244
toothbrush_img_auc,0.9222222222222223
toothbrush_pixel_auc,0.9817671439275417
toothbrush_img_ap,0.9665394791595769
toothbrush_pixel_ap,0.426764960554018
transistor_img_auc,1.0
transistor_pixel_auc,0.9669351624227662
transistor_img_ap,1.0
transistor_pixel_ap,0.6529496381284235
wood_img_auc,0.9894736842105264
wood_pixel_auc,0.9209565322671868
wood_img_ap,0.9967975078013839
wood_pixel_ap,0.3318247185674144
zipper_img_auc,0.991859243697479
zipper_pixel_auc,0.974321629275583
zipper_img_ap,0.9979488884956694
zipper_pixel_ap,0.30546959527670314
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.979709475696502
oracle_mean_pixel_auc,0.9737181260116735
