task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,855.544198843149,0.0001998643239407028,,,,,,
0,1.0,BASE,504.0689298189603,0.00019945766764145904,,,,,,
0,2.0,BASE,283.06637690617487,0.00019878114571891863,,,,,,
0,3.0,BASE,107.73553261390099,0.00019783661247264674,,,,,,
0,4.0,BASE,-3.0806209857647238,0.00019662665680261773,,,,,,
0,5.0,BASE,-66.48984644963191,0.0001951545951132202,,,,,,
0,6.0,BASE,-118.37566669170673,0.00019342446222322295,,,,,,
0,7.0,BASE,-167.0835442176232,0.00019144100030661746,,,,,,
0,8.0,BASE,-208.52205716646634,0.0001892096458946484,,,,,,
0,9.0,BASE,-240.76944087101862,0.00018673651497465941,,,,,,
0,10.0,BASE,-273.0699920654297,0.00018402838622659694,,,,,,
0,11.0,BASE,-303.84228515625,0.00018109268244311975,,,,,,
0,12.0,BASE,-331.10528329702527,0.0001779374501842401,,,,,,
0,13.0,BASE,-353.3250802847055,0.000174571337722262,,,,,,
0,14.0,BASE,-376.50865290715143,0.00017100357133746817,,,,,,
0,15.0,BASE,-398.2092942457933,0.00016724393002952694,,,,,,
0,16.0,BASE,-419.62852830153247,0.0001633027187139339,,,,,,
0,17.0,BASE,-438.49652099609375,0.00015919073997695482,,,,,,
0,18.0,BASE,-456.20245126577527,0.00015491926446648766,,,,,,
0,19.0,BASE,-473.0568354679988,0.00015049999999999997,,,,,,
0,20.0,BASE,-489.7490046574519,0.0001459450594742151,,,,,,
0,21.0,BASE,-504.89547964242786,0.0001412669276645042,,,,,,
0,22.0,BASE,-519.7561316856971,0.00013647842700498472,,,,,,
0,23.0,BASE,-533.4972299429087,0.00013159268244311977,,,,,,
0,24.0,BASE,-545.4903705303485,0.00012662308546514952,,,,,,
0,25.0,BASE,-556.6703819861779,0.00012158325739095812,,,,,,
0,26.0,BASE,-568.5345036433293,0.00011648701203898282,,,,,,
0,27.0,BASE,-577.5686222956731,0.00011134831786349765,,,,,,
0,28.0,BASE,-589.4827411358173,0.00010618125966805139,,,,,,
0,29.0,BASE,-599.8010019155649,0.00010099999999999999,,,,,,
0,30.0,BASE,-608.5481567382812,9.581874033194855e-05,,,,,,
0,31.0,BASE,-617.6864342322716,9.06516821365023e-05,,,,,,
0,32.0,BASE,-624.907710148738,8.551298796101712e-05,,,,,,
0,33.0,BASE,-633.2180457481971,8.04167426090418e-05,,,,,,
0,34.0,BASE,-640.3148146409255,7.537691453485044e-05,,,,,,
0,35.0,BASE,-647.614736703726,7.04073175568802e-05,,,,,,
0,36.0,BASE,-655.0525982196515,6.552157299501526e-05,,,,,,
0,37.0,BASE,-661.146010178786,6.0733072335495784e-05,,,,,,
0,38.0,BASE,-667.8031146709735,5.605494052578486e-05,,,,,,
0,39.0,BASE,-673.4390963040865,5.150000000000001e-05,,,,,,
0,40.0,BASE,-678.5106764573318,4.708073553351234e-05,,,,,,
0,41.0,BASE,-684.2940157376803,4.2809260023045165e-05,,,,,,
0,42.0,BASE,-688.2079655573918,3.869728128606611e-05,,,,,,
0,43.0,BASE,-692.0396963266226,3.475606997047307e-05,,,,,,
0,44.0,BASE,-696.7049091045673,3.09964286625318e-05,,,,,,
0,45.0,BASE,-699.722412109375,2.742866227773799e-05,,,,,,
0,46.0,BASE,-702.6252253605769,2.406254981575988e-05,,,,,,
0,47.0,BASE,-705.5314518855168,2.090731755688021e-05,,,,,,
0,48.0,BASE,-708.9423452524038,1.7971613773403027e-05,,,,,,
0,49.0,BASE,-710.6529775766226,1.5263485025340566e-05,,,,,,
0,50.0,BASE,-713.1107694185697,1.2790354105351586e-05,,,,,,
0,51.0,BASE,-714.9537165715144,1.0558999693382501e-05,,,,,,
0,52.0,BASE,-716.278329702524,8.575537776777025e-06,,,,,,
0,53.0,BASE,-717.6286902794471,6.845404886779799e-06,,,,,,
0,54.0,BASE,-719.3617272010216,5.373343197382236e-06,,,,,,
0,55.0,BASE,-720.2779728816106,4.1633875273532364e-06,,,,,,
0,56.0,BASE,-720.9970280573918,3.2188542810813718e-06,,,,,,
0,57.0,BASE,-721.8983811598557,2.5423323585409335e-06,,,,,,
0,58.0,BASE,-722.2637329101562,2.1356760592971906e-06,,,,,,
0,59.0,BASE,-722.8630746694712,2.0000000000000003e-06,,,,,,
1,0.0,FAST,7494.576381138393,0.0001,,,,,,
1,1.0,FAST,1137.7711704799108,0.0002,,,,,,
1,2.0,FAST,515.2838788713727,0.0001998643239407028,,,,,,
1,3.0,FAST,415.56507001604353,0.00019945766764145904,,,,,,
1,4.0,FAST,345.3771711077009,0.00019878114571891863,,,,,,
1,5.0,FAST,292.95894513811385,0.00019783661247264674,,,,,,
1,6.0,FAST,253.57436588832311,0.00019662665680261773,,,,,,
1,7.0,FAST,224.1708755493164,0.0001951545951132202,,,,,,
1,8.0,FAST,200.54715837751115,0.00019342446222322295,,,,,,
1,9.0,FAST,181.5452379499163,0.00019144100030661746,,,,,,
1,10.0,FAST,165.71383340018136,0.0001892096458946484,,,,,,
1,11.0,FAST,152.284175327846,0.00018673651497465941,,,,,,
1,12.0,FAST,141.21246010916573,0.00018402838622659694,,,,,,
1,13.0,FAST,131.07392392839705,0.00018109268244311975,,,,,,
1,14.0,FAST,121.93503788539341,0.0001779374501842401,,,,,,
1,15.0,FAST,113.42920194353376,0.000174571337722262,,,,,,
1,16.0,FAST,105.82356861659459,0.00017100357133746817,,,,,,
1,17.0,FAST,98.54795891898019,0.00016724393002952694,,,,,,
1,18.0,FAST,92.23605946132115,0.0001633027187139339,,,,,,
