metric,value
experiment_name,MVTec-WRN50-LogdetReg1e-4-lr3e-4
strategy,MoLE-Flow
final_average_img_auc,0.9816996826084224
final_average_pixel_auc,0.9756624521555879
final_average_img_ap,0.9936180719394593
final_average_pixel_ap,0.508617969787708
total_classes,15
total_tasks,15
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,1.0
bottle_pixel_auc,0.9777321510914545
bottle_img_ap,0.9999999999999998
bottle_pixel_ap,0.6059040732220196
cable_img_auc,0.9913793103448276
cable_pixel_auc,0.9756631686315178
cable_img_ap,0.995380434782609
cable_pixel_ap,0.6517018081395795
capsule_img_auc,0.9565217391304348
capsule_pixel_auc,0.986854502843589
capsule_img_ap,0.9898713272889159
capsule_pixel_ap,0.385812339256794
carpet_img_auc,0.9911717495987158
carpet_pixel_auc,0.9863723817626934
carpet_img_ap,0.9974948424415013
carpet_pixel_ap,0.5427728929504877
grid_img_auc,0.9849624060150375
grid_pixel_auc,0.9742143455835244
grid_img_ap,0.995042763740825
grid_pixel_ap,0.22039127360055996
hazelnut_img_auc,1.0
hazelnut_pixel_auc,0.9856867626090494
hazelnut_img_ap,0.9999999999999998
hazelnut_pixel_ap,0.5340537157408197
leather_img_auc,1.0
leather_pixel_auc,0.9881874750572875
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.3135706915397072
metal_nut_img_auc,1.0
metal_nut_pixel_auc,0.9791260381091255
metal_nut_img_ap,1.0
metal_nut_pixel_ap,0.821808184232075
pill_img_auc,0.9819967266775776
pill_pixel_auc,0.9880328176025124
pill_img_ap,0.9968873937493453
pill_pixel_ap,0.8033600646556944
screw_img_auc,0.9149415863906538
screw_pixel_auc,0.9839738281612381
screw_img_ap,0.9675140174577517
screw_pixel_ap,0.2186044763297482
tile_img_auc,1.0
tile_pixel_auc,0.9621093365796344
tile_img_ap,0.9999999999999998
tile_pixel_ap,0.6827468309067763
toothbrush_img_auc,0.9222222222222223
toothbrush_pixel_auc,0.9833644744470378
toothbrush_img_ap,0.9670396666989801
toothbrush_pixel_ap,0.48864518194645995
transistor_img_auc,1.0
transistor_pixel_auc,0.9578477574830137
transistor_img_ap,1.0
transistor_pixel_ap,0.6378063640590278
wood_img_auc,0.9912280701754386
wood_pixel_auc,0.9302866303852891
wood_img_ap,0.9973302900775872
wood_pixel_ap,0.381619104317951
zipper_img_auc,0.9910714285714286
zipper_pixel_auc,0.9754851119868515
zipper_img_ap,0.9977103428543734
zipper_pixel_ap,0.34047254591791976
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.9816996826084224
oracle_mean_pixel_auc,0.9756624521555879
