metric,value
experiment_name,MVTec-WRN50-ScaleCtxK5
strategy,MoLE-Flow
final_average_img_auc,0.9786651874755751
final_average_pixel_auc,0.9745932308670608
final_average_img_ap,0.992434239754876
final_average_pixel_ap,0.4869712258330887
total_classes,15
total_tasks,15
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,1.0
bottle_pixel_auc,0.9677742877470695
bottle_img_ap,0.9999999999999998
bottle_pixel_ap,0.47776037409832295
cable_img_auc,0.9885682158920539
cable_pixel_auc,0.9752033820534399
cable_img_ap,0.9939707776114171
cable_pixel_ap,0.6530681789668036
capsule_img_auc,0.9553250897487037
capsule_pixel_auc,0.985005232271553
capsule_img_ap,0.9897338565764416
capsule_pixel_ap,0.33621574185544845
carpet_img_auc,0.9823434991974318
carpet_pixel_auc,0.9820688130668874
carpet_img_ap,0.9949150802899205
carpet_pixel_ap,0.46430672756435026
grid_img_auc,0.9891395154553049
grid_pixel_auc,0.9763176786371385
grid_img_ap,0.9964027344527779
grid_pixel_ap,0.21987238977873894
hazelnut_img_auc,1.0
hazelnut_pixel_auc,0.9858716288535606
hazelnut_img_ap,0.9999999999999998
hazelnut_pixel_ap,0.55555755278453
leather_img_auc,1.0
leather_pixel_auc,0.9822993977757153
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.23864444024067347
metal_nut_img_auc,1.0
metal_nut_pixel_auc,0.9857827231000086
metal_nut_img_ap,1.0
metal_nut_pixel_ap,0.8816767212032918
pill_img_auc,0.98063284233497
pill_pixel_auc,0.9889522754909051
pill_img_ap,0.9966972439174879
pill_pixel_ap,0.8161368479224524
screw_img_auc,0.893010862881738
screw_pixel_auc,0.9807718717232738
screw_img_ap,0.9599088390844592
screw_pixel_ap,0.20492663104534525
tile_img_auc,1.0
tile_pixel_auc,0.9593647973167244
tile_img_ap,0.9999999999999998
tile_pixel_ap,0.6549039541341771
toothbrush_img_auc,0.9111111111111112
toothbrush_pixel_auc,0.9822792322011259
toothbrush_img_ap,0.960508197251102
toothbrush_pixel_ap,0.4713030555991874
transistor_img_auc,1.0
transistor_pixel_auc,0.9719977746466327
transistor_img_ap,1.0
transistor_pixel_ap,0.6844833388984559
wood_img_auc,0.9903508771929825
wood_pixel_auc,0.920541358915273
wood_img_ap,0.9970899054622026
wood_pixel_ap,0.3424502925700614
zipper_img_auc,0.9894957983193278
zipper_pixel_auc,0.9746680092066049
zipper_img_ap,0.9972869616773326
zipper_pixel_ap,0.30326214083449243
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.9786651874755751
oracle_mean_pixel_auc,0.9745932308670608
