class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9621626033492706,False,1.0
cable,1,0.9932533733133433,0.975328867544139,False,1.0
capsule,2,0.9449541284403671,0.9846998069171584,False,1.0
carpet,3,0.9843499197431782,0.9800213806386949,False,1.0
grid,4,0.9908103592314119,0.9751722303954033,False,1.0
hazelnut,5,1.0,0.9840299316035998,False,1.0
leather,6,1.0,0.9843826295072349,False,1.0
metal_nut,7,1.0,0.9817479886781034,True,1.0
Average,,0.9891709725910376,0.9784431798292006,,1.0
Task_0_Average,0,1.0,0.9621626033492706,,1.0
Task_1_Average,1,0.9932533733133433,0.975328867544139,,1.0
Task_2_Average,2,0.9449541284403671,0.9846998069171584,,1.0
Task_3_Average,3,0.9843499197431782,0.9800213806386949,,1.0
Task_4_Average,4,0.9908103592314119,0.9751722303954033,,1.0
Task_5_Average,5,1.0,0.9840299316035998,,1.0
Task_6_Average,6,1.0,0.9843826295072349,,1.0
Task_7_Average,7,1.0,0.9817479886781034,,1.0
