Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9622,1.0000,0.4442
1,cable,100.00,0.9933,0.9753,0.9960,0.6498
2,capsule,100.00,0.9450,0.9847,0.9874,0.3241
3,carpet,100.00,0.9843,0.9800,0.9955,0.3576
4,grid,100.00,0.9908,0.9752,0.9969,0.2165
5,hazelnut,100.00,1.0000,0.9840,1.0000,0.5049
6,leather,100.00,1.0000,0.9844,1.0000,0.2616
7,metal_nut,100.00,1.0000,0.9817,1.0000,0.8328
8,pill,100.00,0.9798,0.9885,0.9965,0.7998
9,screw,100.00,0.8932,0.9811,0.9582,0.1888
10,tile,100.00,1.0000,0.9540,1.0000,0.6193
11,toothbrush,100.00,0.9194,0.9794,0.9652,0.3272
12,transistor,100.00,1.0000,0.9647,1.0000,0.6415
13,wood,100.00,0.9895,0.9226,0.9968,0.3383
14,zipper,100.00,0.9905,0.9727,0.9975,0.2945
Mean,Overall,100.00,0.9791*,0.9727*,0.9927*,0.4534*
