Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9642,1.0000,0.4536
1,cable,100.00,0.9916,0.9750,0.9952,0.6576
2,capsule,100.00,0.9462,0.9854,0.9872,0.3511
3,carpet,100.00,0.9823,0.9817,0.9950,0.4207
4,grid,100.00,0.9891,0.9754,0.9964,0.1996
5,hazelnut,100.00,1.0000,0.9845,1.0000,0.5013
6,leather,100.00,1.0000,0.9816,1.0000,0.2304
7,metal_nut,100.00,0.9995,0.9844,0.9999,0.8713
8,pill,100.00,0.9779,0.9882,0.9961,0.8062
9,screw,100.00,0.8826,0.9828,0.9539,0.2077
10,tile,100.00,1.0000,0.9576,1.0000,0.6783
11,toothbrush,100.00,0.9250,0.9810,0.9685,0.4344
12,transistor,100.00,1.0000,0.9671,1.0000,0.6551
13,wood,100.00,0.9921,0.9209,0.9976,0.3202
14,zipper,100.00,0.9932,0.9746,0.9982,0.3158
Mean,Overall,100.00,0.9786*,0.9736*,0.9925*,0.4735*
