class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9670926820345948,False,1.0
cable,1,0.9923163418290855,0.973954469308824,False,1.0
capsule,2,0.9425608296769047,0.9860397297637681,False,1.0
carpet,3,0.9867576243980738,0.979629463456548,False,1.0
grid,4,0.9883040935672515,0.9741909399207239,False,1.0
hazelnut,5,1.0,0.9856246723910254,False,1.0
leather,6,1.0,0.9775155577287546,False,1.0
metal_nut,7,1.0,0.9872559081429605,False,1.0
pill,8,0.983633387888707,0.9886107645908573,False,1.0
screw,9,0.880098380815741,0.9831540696508153,False,1.0
tile,10,1.0,0.9557346395151177,False,1.0
toothbrush,11,0.9138888888888889,0.977641730515643,False,1.0
transistor,12,1.0,0.966978317040318,True,1.0
Average,,0.9759661190049733,0.977186380312304,,1.0
Task_0_Average,0,1.0,0.9670926820345948,,1.0
Task_1_Average,1,0.9923163418290855,0.973954469308824,,1.0
Task_2_Average,2,0.9425608296769047,0.9860397297637681,,1.0
Task_3_Average,3,0.9867576243980738,0.979629463456548,,1.0
Task_4_Average,4,0.9883040935672515,0.9741909399207239,,1.0
Task_5_Average,5,1.0,0.9856246723910254,,1.0
Task_6_Average,6,1.0,0.9775155577287546,,1.0
Task_7_Average,7,1.0,0.9872559081429605,,1.0
Task_8_Average,8,0.983633387888707,0.9886107645908573,,1.0
Task_9_Average,9,0.880098380815741,0.9831540696508153,,1.0
Task_10_Average,10,1.0,0.9557346395151177,,1.0
Task_11_Average,11,0.9138888888888889,0.977641730515643,,1.0
Task_12_Average,12,1.0,0.966978317040318,,1.0
