class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9642217777027922,False,1.0
cable,1,0.9896926536731634,0.9709617303420459,False,1.0
capsule,2,0.9481451934583168,0.9858378515896378,False,1.0
carpet,3,0.9887640449438202,0.9815724747872584,False,1.0
grid,4,0.9866332497911445,0.9754147442315108,False,1.0
hazelnut,5,1.0,0.9843578300537617,False,1.0
leather,6,1.0,0.9808128260451981,False,1.0
metal_nut,7,1.0,0.9856015797361808,False,1.0
pill,8,0.9830878341516639,0.9880252308616929,False,1.0
screw,9,0.8911662225865956,0.9805988694374331,False,1.0
tile,10,1.0,0.9560095285837871,False,1.0
toothbrush,11,0.9,0.9807272775797791,False,1.0
transistor,12,1.0,0.9531714922242274,False,1.0
wood,13,0.9885964912280703,0.9211984379366228,False,1.0
zipper,14,0.9902836134453782,0.9726265359142102,True,1.0
Average,,0.9777579535518769,0.9720758791350759,,1.0
Task_0_Average,0,1.0,0.9642217777027922,,1.0
Task_1_Average,1,0.9896926536731634,0.9709617303420459,,1.0
Task_2_Average,2,0.9481451934583168,0.9858378515896378,,1.0
Task_3_Average,3,0.9887640449438202,0.9815724747872584,,1.0
Task_4_Average,4,0.9866332497911445,0.9754147442315108,,1.0
Task_5_Average,5,1.0,0.9843578300537617,,1.0
Task_6_Average,6,1.0,0.9808128260451981,,1.0
Task_7_Average,7,1.0,0.9856015797361808,,1.0
Task_8_Average,8,0.9830878341516639,0.9880252308616929,,1.0
Task_9_Average,9,0.8911662225865956,0.9805988694374331,,1.0
Task_10_Average,10,1.0,0.9560095285837871,,1.0
Task_11_Average,11,0.9,0.9807272775797791,,1.0
Task_12_Average,12,1.0,0.9531714922242274,,1.0
Task_13_Average,13,0.9885964912280703,0.9211984379366228,,1.0
Task_14_Average,14,0.9902836134453782,0.9726265359142102,,1.0
