Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9634,1.0000,0.4462
1,cable,100.00,0.9921,0.9750,0.9956,0.6585
2,capsule,100.00,0.9422,0.9854,0.9863,0.3529
3,carpet,100.00,0.9864,0.9810,0.9961,0.4104
4,grid,100.00,0.9891,0.9755,0.9964,0.2006
5,hazelnut,100.00,1.0000,0.9842,1.0000,0.4932
6,leather,100.00,1.0000,0.9810,1.0000,0.2252
7,metal_nut,100.00,1.0000,0.9842,1.0000,0.8684
8,pill,100.00,0.9806,0.9883,0.9967,0.8055
9,screw,100.00,0.8834,0.9821,0.9552,0.2016
10,tile,100.00,1.0000,0.9574,1.0000,0.6747
11,toothbrush,100.00,0.9139,0.9808,0.9628,0.4313
12,transistor,100.00,1.0000,0.9668,1.0000,0.6522
13,wood,100.00,0.9895,0.9200,0.9968,0.3141
14,zipper,100.00,0.9929,0.9746,0.9982,0.3171
Mean,Overall,100.00,0.9780*,0.9733*,0.9923*,0.4701*
