Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9608,1.0000,0.4217
1,cable,100.00,0.9903,0.9737,0.9945,0.6560
2,capsule,100.00,0.9274,0.9847,0.9831,0.3298
3,carpet,100.00,0.9856,0.9806,0.9959,0.3914
4,grid,100.00,0.9850,0.9746,0.9952,0.1937
5,hazelnut,100.00,1.0000,0.9841,1.0000,0.4900
6,leather,100.00,1.0000,0.9804,1.0000,0.2185
7,metal_nut,100.00,1.0000,0.9831,1.0000,0.8568
8,pill,100.00,0.9776,0.9878,0.9962,0.8064
9,screw,100.00,0.8668,0.9790,0.9498,0.1894
10,tile,100.00,1.0000,0.9559,1.0000,0.6624
11,toothbrush,100.00,0.9083,0.9795,0.9606,0.3872
12,transistor,100.00,1.0000,0.9624,1.0000,0.6421
13,wood,100.00,0.9895,0.9186,0.9968,0.3044
14,zipper,100.00,0.9929,0.9744,0.9982,0.3138
Mean,Overall,100.00,0.9749*,0.9720*,0.9913*,0.4576*
