metric,value
experiment_name,MVTec-WRN50-TailW0.1
strategy,MoLE-Flow
final_average_img_auc,0.9748866185577214
final_average_pixel_auc,0.9719751669899279
final_average_img_ap,0.9913478310329887
final_average_pixel_ap,0.4575725043715463
total_classes,15
total_tasks,15
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,1.0
bottle_pixel_auc,0.960782936979248
bottle_img_ap,0.9999999999999998
bottle_pixel_ap,0.4217317596464415
cable_img_auc,0.9902548725637181
cable_pixel_auc,0.9736868172315053
cable_img_ap,0.9944537094134889
cable_pixel_ap,0.6559642049841565
capsule_img_auc,0.9274032708416434
capsule_pixel_auc,0.9847438311588578
capsule_img_ap,0.9831016568139441
capsule_pixel_ap,0.32980858695500287
carpet_img_auc,0.9855537720706259
carpet_pixel_auc,0.9806111515570328
carpet_img_ap,0.9958846095914984
carpet_pixel_ap,0.3913843766673046
grid_img_auc,0.9849624060150376
grid_pixel_auc,0.9746029384241928
grid_img_ap,0.9952127049650272
grid_pixel_ap,0.19373117732880957
hazelnut_img_auc,1.0
hazelnut_pixel_auc,0.9840582092128611
hazelnut_img_ap,0.9999999999999998
hazelnut_pixel_ap,0.4899994080254194
leather_img_auc,1.0
leather_pixel_auc,0.9804019590248592
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.21847845434621632
metal_nut_img_auc,1.0
metal_nut_pixel_auc,0.983134828661946
metal_nut_img_ap,1.0
metal_nut_pixel_ap,0.8567635504312646
pill_img_auc,0.9776322967812329
pill_pixel_auc,0.9877670542105593
pill_img_ap,0.9961548614032245
pill_pixel_ap,0.8064338709475816
screw_img_auc,0.8667759786841566
screw_pixel_auc,0.9790028338589423
screw_img_ap,0.9498310537596557
screw_pixel_ap,0.18939829148761533
tile_img_auc,1.0
tile_pixel_auc,0.9559048909033289
tile_img_ap,0.9999999999999998
tile_pixel_ap,0.6623992298353831
toothbrush_img_auc,0.9083333333333334
toothbrush_pixel_auc,0.9795068307494711
toothbrush_img_ap,0.9606277599072779
toothbrush_pixel_ap,0.38721405320423385
transistor_img_auc,1.0
transistor_pixel_auc,0.9623670492468116
transistor_img_ap,1.0
transistor_pixel_ap,0.6421191531784454
wood_img_auc,0.9894736842105264
wood_pixel_auc,0.9186176057421229
wood_img_ap,0.9967761875668323
wood_pixel_ap,0.3043946997553997
zipper_img_auc,0.9929096638655462
zipper_pixel_auc,0.9744385678871792
zipper_img_ap,0.998174922073882
zipper_pixel_ap,0.31376674877991995
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.9748866185577214
oracle_mean_pixel_auc,0.9719751669899279
