class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9799216242433771,False,1.0
cable,1,0.9893178410794603,0.9746644444988024,False,1.0
capsule,2,0.9641005185480654,0.9868394830075716,False,1.0
carpet,3,0.9935794542536115,0.9876243476778261,False,1.0
grid,4,0.9933166248955723,0.9745881854488931,False,1.0
hazelnut,5,0.9996428571428572,0.9860467753181961,False,1.0
leather,6,1.0,0.9900929073426271,True,1.0
Average,,0.9914224708456524,0.9828253953624706,,1.0
Task_0_Average,0,1.0,0.9799216242433771,,1.0
Task_1_Average,1,0.9893178410794603,0.9746644444988024,,1.0
Task_2_Average,2,0.9641005185480654,0.9868394830075716,,1.0
Task_3_Average,3,0.9935794542536115,0.9876243476778261,,1.0
Task_4_Average,4,0.9933166248955723,0.9745881854488931,,1.0
Task_5_Average,5,0.9996428571428572,0.9860467753181961,,1.0
Task_6_Average,6,1.0,0.9900929073426271,,1.0
