Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9795,1.0000,0.6355
1,cable,100.00,0.9901,0.9749,0.9947,0.6454
2,capsule,100.00,0.9609,0.9870,0.9905,0.4000
3,carpet,100.00,0.9932,0.9872,0.9981,0.5514
4,grid,100.00,0.9933,0.9746,0.9977,0.2305
5,hazelnut,100.00,0.9996,0.9857,0.9998,0.5396
6,leather,100.00,1.0000,0.9896,1.0000,0.3344
7,metal_nut,100.00,1.0000,0.9772,1.0000,0.8197
8,pill,100.00,0.9880,0.9890,0.9979,0.8064
9,screw,100.00,0.9156,0.9821,0.9668,0.2083
10,tile,100.00,1.0000,0.9648,1.0000,0.7095
11,toothbrush,100.00,0.9167,0.9844,0.9645,0.5210
12,transistor,100.00,0.9942,0.9630,0.9897,0.6423
13,wood,100.00,0.9877,0.9342,0.9961,0.4092
14,zipper,100.00,0.9945,0.9763,0.9986,0.3534
Mean,Overall,100.00,0.9822*,0.9766*,0.9930*,0.5204*
