metric,value
experiment_name,Exp04-TailW0.5-TailTopK7-TopK5-LogdetReg1e-4
strategy,MoLE-Flow
final_average_img_auc,0.9822471187967036
final_average_pixel_auc,0.9766336689493885
final_average_img_ap,0.9929652020847934
final_average_pixel_ap,0.5204386946488735
total_classes,15
total_tasks,15
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,1.0
bottle_pixel_auc,0.9794635561672126
bottle_img_ap,0.9999999999999998
bottle_pixel_ap,0.6354876290818813
cable_img_auc,0.9900674662668666
cable_pixel_auc,0.9749292793961095
cable_img_ap,0.9946532537232463
cable_pixel_ap,0.6454296371227057
capsule_img_auc,0.9609094535301157
capsule_pixel_auc,0.9870264565075342
capsule_img_ap,0.9905343202617759
capsule_pixel_ap,0.39996221138441457
carpet_img_auc,0.9931781701444622
carpet_pixel_auc,0.9871953679564228
carpet_img_ap,0.9980609514376593
carpet_pixel_ap,0.5513998043753912
grid_img_auc,0.9933166248955723
grid_pixel_auc,0.9746104208109705
grid_img_ap,0.9976669287233659
grid_pixel_ap,0.2304587295431419
hazelnut_img_auc,0.9996428571428572
hazelnut_pixel_auc,0.9857389998388295
hazelnut_img_ap,0.999798792756539
hazelnut_pixel_ap,0.5395528454380794
leather_img_auc,1.0
leather_pixel_auc,0.9895921263773674
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.3344120222995953
metal_nut_img_auc,1.0
metal_nut_pixel_auc,0.9771687118363865
metal_nut_img_ap,1.0
metal_nut_pixel_ap,0.8197396093604962
pill_img_auc,0.9879978177850518
pill_pixel_auc,0.9889801125631547
pill_img_ap,0.9978921571939264
pill_pixel_ap,0.806416341097756
screw_img_auc,0.9155564664890347
screw_pixel_auc,0.9821189327352745
screw_img_ap,0.9668336395764583
screw_pixel_ap,0.20831196483433392
tile_img_auc,1.0
tile_pixel_auc,0.9647919230587653
tile_img_ap,0.9999999999999998
tile_pixel_ap,0.7094813316978085
toothbrush_img_auc,0.9166666666666666
toothbrush_pixel_auc,0.9843536066076601
toothbrush_img_ap,0.964549328534729
toothbrush_pixel_ap,0.5210284885025203
transistor_img_auc,0.9941666666666666
transistor_pixel_auc,0.9630474522203268
transistor_img_ap,0.9897130867603318
transistor_pixel_ap,0.6423240182109023
wood_img_auc,0.987719298245614
wood_pixel_auc,0.9342121442669957
wood_img_ap,0.9961399659207236
wood_pixel_ap,0.409177589839166
zipper_img_auc,0.9944852941176471
zipper_pixel_auc,0.9762759438978196
zipper_img_ap,0.9986356063831462
zipper_pixel_ap,0.3533981969449099
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.9822471187967036
oracle_mean_pixel_auc,0.9766336689493885
