class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9819762456783161,False,1.0
cable,1,0.9895052473763118,0.9772566289656682,False,1.0
capsule,2,0.9648982848025529,0.9868047896077968,False,1.0
carpet,3,0.9963884430176565,0.9887013173780231,False,1.0
grid,4,0.9924812030075189,0.9760452566575715,True,1.0
Average,,0.9886546356408079,0.9821568476574752,,1.0
Task_0_Average,0,1.0,0.9819762456783161,,1.0
Task_1_Average,1,0.9895052473763118,0.9772566289656682,,1.0
Task_2_Average,2,0.9648982848025529,0.9868047896077968,,1.0
Task_3_Average,3,0.9963884430176565,0.9887013173780231,,1.0
Task_4_Average,4,0.9924812030075189,0.9760452566575715,,1.0
