metric,value
experiment_name,Exp18-TailW0.6-TailTopK3-TopK5-LogdetReg1e-4-ScaleCtxK5-80ep
strategy,MoLE-Flow
final_average_img_auc,0.9825928041263254
final_average_pixel_auc,0.9776844046161509
final_average_img_ap,0.9933237190467955
final_average_pixel_ap,0.5309977308036745
total_classes,15
total_tasks,15
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,1.0
bottle_pixel_auc,0.9819762456783161
bottle_img_ap,0.9999999999999998
bottle_pixel_ap,0.7004853925226218
cable_img_auc,0.9895052473763118
cable_pixel_auc,0.9772566289656682
cable_img_ap,0.9947328024239501
cable_pixel_ap,0.6282120150188788
capsule_img_auc,0.9648982848025529
capsule_pixel_auc,0.9868047896077968
capsule_img_ap,0.9918602049691496
capsule_pixel_ap,0.400986711795639
carpet_img_auc,0.9963884430176565
carpet_pixel_auc,0.9887013173780231
carpet_img_ap,0.9989138230311095
carpet_pixel_ap,0.5964637900159552
grid_img_auc,0.9924812030075189
grid_pixel_auc,0.9760452566575715
grid_img_ap,0.9974600701314693
grid_pixel_ap,0.2545977408772695
hazelnut_img_auc,1.0
hazelnut_pixel_auc,0.9873355413353047
hazelnut_img_ap,0.9999999999999998
hazelnut_pixel_ap,0.5923680816221718
leather_img_auc,1.0
leather_pixel_auc,0.9927690162885556
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.42744674908618774
metal_nut_img_auc,1.0
metal_nut_pixel_auc,0.9726908464848646
metal_nut_img_ap,1.0
metal_nut_pixel_ap,0.7811837057687631
pill_img_auc,0.9899072558647025
pill_pixel_auc,0.9897736324154534
pill_img_ap,0.9982783746477126
pill_pixel_ap,0.8042151894658605
screw_img_auc,0.9141217462594794
screw_pixel_auc,0.9815195916539102
screw_img_ap,0.964819609575944
screw_pixel_ap,0.21201310576189314
tile_img_auc,1.0
tile_pixel_auc,0.963228971389429
tile_img_ap,0.9999999999999998
tile_pixel_ap,0.594296750368767
toothbrush_img_auc,0.9111111111111112
toothbrush_pixel_auc,0.9846797998984143
toothbrush_img_ap,0.9618958758493069
toothbrush_pixel_ap,0.5224562782838501
transistor_img_auc,0.9979166666666667
transistor_pixel_auc,0.9671803297952544
transistor_img_ap,0.9968856034316561
transistor_pixel_ap,0.6505182407016366
wood_img_auc,0.9912280701754386
wood_pixel_auc,0.939705795301075
wood_img_ap,0.9971970119099044
wood_pixel_ap,0.4473192322564554
zipper_img_auc,0.9913340336134454
zipper_pixel_auc,0.9755983063926286
zipper_img_ap,0.9978124097317319
zipper_pixel_ap,0.3524029785091694
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.9825928041263254
oracle_mean_pixel_auc,0.9776844046161509
